payment_id,account_id,recipient,amount,payment_date,payment_method
126,55372,Collins Group,1011611.0,1997-09-28,Contactless Card
127,45978,Stuart-Robinson,8001376.0,2021-04-22,Credit Card
132,2295,"Williamson, Tanner and Brooks",7711.0,1987-05-07,E-wallet
134,65144,Mcguire-Lynch,777.0,2007-04-28,Bank Transfer
137,53534,"Smith, Hanson and Long",1388016.0,1995-10-29,Debit Card
139,55815,Waters-Hill,419206055.0,2012-02-05,Prepaid Card
141,27711,"Rivera, Gibson and Brady",346805877.0,2023-03-30,E-wallet
145,25952,Long-Schmidt,91085819.0,1980-03-04,Mobile Payment
146,37089,Nichols PLC,10270.0,2015-10-18,E-wallet
149,36159,"Wells, Cruz and Mendoza",3249285.0,1973-11-23,Debit Card
150,38911,Freeman-Brewer,0.0,1970-05-14,Debit Card
162,33979,"Welch, Fletcher and Lopez",2330255.0,2000-08-18,Cash
165,26594,"Burgess, Medina and Patel",927088673.0,2016-01-18,Cryptocurrency
166,26446,"Valentine, Jones and Maynard",48.0,2010-02-23,Bank Transfer
167,63130,"Wilkerson, Franklin and Nunez",247673845.0,2006-12-05,Cryptocurrency
168,23837,"Crawford, Mcintosh and Berger",11562.0,1986-12-31,Cash
169,32041,Baker-Jones,84779587.0,1992-07-20,Check
173,27902,Bailey and Sons,26797065.0,2000-02-09,Credit Card
174,30210,Carter-Walls,438.0,1977-07-03,Prepaid Card
175,41333,Garcia and Sons,153193886.0,1992-05-19,E-wallet
177,24292,"Thompson, Lewis and Rogers",481938915.0,1994-06-22,Check
180,45237,Martinez-Schmidt,199.0,1979-05-29,Check
182,28255,Carpenter PLC,301043.0,1974-08-27,Cryptocurrency
184,23292,"Smith, Smith and Green",698.0,2009-06-02,Contactless Card
188,26731,Stevens-Thomas,80871.0,1998-09-28,Mobile Payment
196,4443,Robinson Group,83081.0,2009-12-15,E-wallet
200,42679,Miller Ltd,7354.0,2006-01-17,Cryptocurrency
204,19964,"Chan, Mcconnell and Phelps",86.0,2000-08-30,Debit Card
208,26460,Lewis Ltd,840.0,1987-01-31,Bank Transfer
210,4885,"Mendoza, Whitehead and Marquez",353876.0,1981-01-07,Cryptocurrency
211,57868,Blair Ltd,48099737.0,2013-10-29,Cryptocurrency
214,64180,"Gardner, Mcdonald and Molina",586.0,1973-03-16,Cryptocurrency
215,62878,Hayes and Sons,322.0,1989-10-16,Contactless Card
220,19632,Willis LLC,68.0,2000-02-19,Debit Card
225,55990,Campbell Inc,12523288.0,2004-12-18,Contactless Card
228,5652,Smith-Becker,27173955.0,1983-10-11,Bank Transfer
230,63375,"Lee, Oliver and Rice",136.0,1976-08-12,E-wallet
233,36814,Clark-Sanchez,1.0,2018-08-09,Bank Transfer
234,41327,Williams-Harmon,53050.0,2018-05-20,Check
235,24881,"Bennett, Simpson and Jordan",919003907.0,1991-06-17,Mobile Payment
236,59548,"Cummings, Gonzalez and Mccoy",3900.0,2018-02-09,Debit Card
237,8391,Ellison-Harris,682250.0,2012-07-19,Bank Transfer
241,27260,"Bryant, Hall and Serrano",218673.0,1995-01-15,Debit Card
248,49535,"Buchanan, Mitchell and Lambert",1309499.0,1997-03-21,Mobile Payment
255,38201,Howard-Moore,1528034.0,2001-09-03,Mobile Payment
257,45305,Anthony and Sons,303952965.0,2023-10-17,Mobile Payment
259,33062,Villarreal-Owen,1333.0,2008-02-29,Prepaid Card
261,20532,Morrison and Sons,8.0,1987-07-26,Bank Transfer
264,29394,Moore-Harris,12.0,1982-07-08,Credit Card
271,51717,"Martinez, Jennings and Henderson",6383510.0,1997-07-16,Cash
273,47912,"Jones, Smith and Jones",89.0,2014-12-19,Credit Card
274,20543,"Gordon, Finley and Montoya",77190231.0,2017-09-16,E-wallet
277,37116,"Henry, Foster and Anderson",77.0,1983-08-01,Prepaid Card
281,2892,Farrell Ltd,39.0,1981-03-29,Mobile Payment
282,4410,Brown Ltd,3926.0,2017-03-11,Cash
290,47129,"Owens, Little and Jones",9430.0,1977-08-25,Mobile Payment
297,23716,Richardson Group,180368.0,2021-05-07,Debit Card
300,3475,Clark-Gibson,44025.0,1976-04-10,Bank Transfer
303,41901,"Gray, Garcia and Sanchez",8.0,1976-06-24,Mobile Payment
308,43260,"Cordova, Pena and Mcclain",361.0,1986-11-27,Bank Transfer
310,50887,Robinson Ltd,584.0,1984-10-23,Debit Card
311,57236,Barnes PLC,46411.0,1983-07-09,Contactless Card
312,4166,"Melton, Marquez and Carlson",930.0,1994-04-23,Prepaid Card
313,7929,Smith-Mccarty,57.0,2010-04-21,Check
316,12259,"Chandler, Jones and Larson",3089.0,2011-10-17,Mobile Payment
317,24370,"Nunez, Simmons and Payne",72.0,2004-04-25,Credit Card
318,41925,Washington Group,4163927.0,1977-01-17,Bank Transfer
321,59358,Jones-Wilson,524052110.0,1973-08-02,Credit Card
325,53825,Mejia PLC,2532337.0,2009-02-06,Check
333,32834,Meadows Group,882575327.0,1990-09-13,Check
336,11932,Johnson Ltd,4032318.0,1996-09-21,Contactless Card
340,46130,Rubio-Ruiz,49.0,2018-08-27,Mobile Payment
342,20935,"Jennings, Wade and Hutchinson",329747.0,1988-09-02,E-wallet
350,41445,"Cook, Williams and Wilson",98636.0,2009-06-14,Contactless Card
351,53794,Sweeney and Sons,488716491.0,1991-03-11,Cryptocurrency
354,21190,Clark and Sons,8402054.0,1970-06-22,Cryptocurrency
368,50007,Armstrong-Murray,48541791.0,1998-10-09,E-wallet
370,27774,"Villegas, Moore and Bell",60189014.0,1990-03-29,Prepaid Card
372,44783,Myers-Brown,27288187.0,2012-05-29,E-wallet
376,55043,Hartman Group,6715467.0,2017-06-29,Cryptocurrency
378,12193,"Romero, Ramos and Cooper",699.0,1983-12-22,Debit Card
385,57608,Melton-Rodriguez,61409446.0,2001-02-25,Prepaid Card
388,27332,Gordon Inc,8916190.0,1983-10-26,Contactless Card
396,31699,Hernandez-Pittman,3762823.0,2009-01-08,E-wallet
399,50499,"Guzman, Lane and Peterson",472794141.0,1986-05-17,Debit Card
400,18207,Long-Peck,915.0,1983-11-06,Bank Transfer
402,2861,Lee PLC,510880.0,2019-02-08,Credit Card
404,17016,Collins PLC,247.0,1987-07-13,Cash
405,34072,Evans Group,6033.0,1986-12-21,Cryptocurrency
413,27275,"Johnson, Stafford and Walker",162558.0,1977-06-02,Prepaid Card
416,12901,Graves-Smith,923.0,2009-09-10,Mobile Payment
417,29606,"Jones, Newton and Fischer",1.0,1994-08-02,Bank Transfer
420,35177,Ortiz LLC,516539.0,2005-10-23,Credit Card
421,54833,Mathis-Bright,6025619.0,1979-08-23,E-wallet
423,21360,"Briggs, Costa and Williams",266.0,2001-12-11,Mobile Payment
426,44266,"Flores, Gates and Fisher",94232.0,1981-06-10,Cash
427,51975,"Davidson, Short and Dillon",56047.0,1997-08-31,Contactless Card
430,15372,Baker-Beck,16064.0,2023-11-03,Check
437,14165,Stark Inc,382.0,1992-05-01,Debit Card
438,2744,"Contreras, Stokes and Smith",104689613.0,1970-11-25,Contactless Card
439,50596,Nunez-Kirby,787565.0,2012-05-03,E-wallet
441,24961,Cortez-Davis,259725270.0,2015-03-16,Bank Transfer
446,14998,"Johnson, Peterson and Reed",82211731.0,2018-08-18,Check
460,37945,Hall and Sons,6937475.0,2005-05-08,Cash
462,21901,"Hall, Cantrell and Howard",584950104.0,2021-09-07,Credit Card
467,17459,Baldwin LLC,81128930.0,2012-10-29,Cryptocurrency
468,53861,"Hampton, Carroll and Anderson",384312.0,1977-10-05,Debit Card
472,34904,Watson PLC,9.0,2018-09-09,E-wallet
473,56441,Jones Group,88274047.0,1980-12-21,Prepaid Card
475,46400,Patrick-Herrera,681826.0,2000-06-13,Cryptocurrency
476,45721,Crawford Inc,60758.0,2000-10-08,Check
479,11858,"Smith, Edwards and Baker",820239.0,2018-03-11,Bank Transfer
481,62884,"Reynolds, Woods and Farrell",69938.0,2017-03-01,Check
482,1263,Greene-Jones,2328.0,1995-06-14,Bank Transfer
483,48478,Richardson LLC,94593625.0,2002-12-21,Credit Card
486,6885,Gilmore PLC,8.0,2018-09-20,Bank Transfer
495,51602,Rivera Ltd,8.0,1984-11-19,Debit Card
499,34173,Prince Inc,12709729.0,2000-01-14,Cash
503,6239,"Hall, Foster and Schneider",55.0,2012-07-08,Credit Card
504,41064,Walker and Sons,197128825.0,2010-04-29,E-wallet
508,19083,Valentine PLC,8260440.0,2017-06-28,Credit Card
509,63581,"Lucas, Miller and Mendez",754.0,1995-12-26,Check
512,20781,Miller-Hall,153229385.0,1992-01-06,Credit Card
519,52176,Hamilton-Nichols,8741.0,1993-12-20,Credit Card
522,57378,"Smith, Lewis and Daniel",0.0,2022-05-25,Cash
523,7393,Anderson PLC,988902.0,2000-02-25,Bank Transfer
524,29653,Cox-Zuniga,554838.0,1996-09-08,Bank Transfer
525,21603,Hill-Martinez,6481.0,1990-12-31,Contactless Card
528,5401,Houston-Powers,28329.0,2013-08-11,Credit Card
530,43788,Mcdowell-Fox,482074505.0,2016-07-07,Cash
531,64079,Young-Ramsey,3.0,1974-01-21,Cryptocurrency
532,40413,Erickson PLC,322.0,1997-04-10,Check
539,62165,"Middleton, Luna and Stewart",1.0,1977-05-28,Check
546,96,Barnett-Estes,2564002.0,2008-12-07,Cryptocurrency
547,56649,"Harris, Murray and Wilson",155576.0,1997-07-16,Contactless Card
548,47195,Martin-Mays,9.0,2021-01-14,Check
549,19335,"Adkins, Villanueva and Wilkins",466626.0,2023-02-20,Prepaid Card
551,32397,Melendez-Mcfarland,513660059.0,1985-04-12,Cryptocurrency
553,2076,"Williams, Gardner and Ayala",55782734.0,1973-11-11,Credit Card
555,48205,Cameron-Middleton,4975.0,1978-12-31,Credit Card
565,62114,Perez Inc,448473683.0,1997-03-22,Debit Card
567,50356,Castillo-Mendoza,10530.0,1992-09-27,Mobile Payment
568,62371,Peterson LLC,752311315.0,1983-11-18,Mobile Payment
570,38363,Diaz-Choi,8.0,2015-08-06,Check
571,9523,"Brooks, Johnson and Jackson",85241.0,1984-02-24,Debit Card
574,60370,"Hurley, Carr and Oconnor",74.0,2002-04-10,Bank Transfer
575,50294,Daniel-Beck,33827.0,2014-06-12,Debit Card
579,7779,"Brooks, Carter and Sharp",53047.0,2002-05-22,Debit Card
582,54403,Nguyen-Clay,91964.0,2020-02-26,Cryptocurrency
583,16546,Weeks-Oneill,80402.0,2011-06-12,Cash
594,4672,Hernandez PLC,3520428.0,2005-12-02,Cash
595,27378,Cook-Richmond,338051.0,1973-03-10,Prepaid Card
596,53812,Bush-Baker,73.0,2023-04-05,E-wallet
606,1526,Wallace PLC,713841.0,1996-08-26,E-wallet
607,19955,Daniel Ltd,6519571.0,1988-04-19,Prepaid Card
610,59558,"Garcia, Martinez and Sanchez",7777163.0,1979-07-04,Contactless Card
611,339,"Mann, Lyons and Leonard",820635027.0,2020-07-26,Cash
613,27112,"White, Velasquez and Livingston",29.0,1984-09-07,E-wallet
614,63505,Cruz and Sons,63681165.0,1993-04-26,E-wallet
617,61853,"Benson, Delgado and Weber",687.0,1994-10-07,E-wallet
619,20200,Petersen-Rodgers,3446.0,1972-02-29,Bank Transfer
621,47311,Ibarra-Hernandez,7504904.0,1991-03-29,Credit Card
622,35171,"Blanchard, Hernandez and Snyder",87.0,1970-12-05,Cash
624,60538,Tran-Terry,871727034.0,2010-03-02,Contactless Card
627,49425,Bailey-Sherman,5357775.0,1986-11-27,Check
632,52640,Hatfield Inc,83460.0,2000-05-05,Cash
633,42688,"George, Smith and Davis",97.0,2007-12-10,Credit Card
634,30668,"Weber, Beasley and Drake",77427.0,1977-09-24,Check
637,27453,"Andrade, Wilson and Sawyer",263866471.0,1977-03-23,Credit Card
638,7981,"Hall, Curtis and Ryan",56.0,1981-01-12,Prepaid Card
639,54690,Lutz Ltd,132.0,1979-11-14,Debit Card
646,46834,Reed-Gordon,0.0,2022-06-12,E-wallet
648,29350,Lawrence PLC,52557.0,2014-01-29,Cash
651,48585,Smith-Patel,80374.0,1977-09-17,Credit Card
655,47403,Munoz Group,2.0,1970-09-16,Check
657,34396,"Martinez, Phillips and Dalton",206.0,1983-05-23,Credit Card
658,36878,Compton-James,79.0,2023-06-04,Credit Card
659,5639,Vega LLC,654712450.0,1981-05-12,E-wallet
660,11018,Flores Inc,85.0,2004-02-23,Check
661,41709,Reynolds-Harrison,4091.0,1989-08-11,Debit Card
662,16367,Owens PLC,12974.0,1981-05-08,Bank Transfer
665,38560,"Gill, Chambers and Hall",35467686.0,2010-02-03,Bank Transfer
666,10654,Jordan Group,39.0,2018-12-01,Check
668,38230,"Hoover, Wallace and Castillo",2714164.0,1988-04-28,Contactless Card
673,9521,"Chang, Orozco and Cook",3245.0,1987-11-29,Debit Card
674,57151,Johnson LLC,61333535.0,1998-10-12,Cryptocurrency
676,63910,Williams Inc,2277942.0,1974-10-19,Prepaid Card
677,1999,Sanchez Group,520.0,2018-01-02,Debit Card
683,33850,Heath-Guzman,1227.0,2004-06-04,Check
688,45642,George PLC,5791.0,1975-06-19,Check
689,61300,"Moore, Valenzuela and Clark",98961064.0,1974-11-24,Debit Card
694,9862,"Roberts, Baxter and Patterson",39813681.0,1981-01-20,Mobile Payment
696,39247,"Perez, Conley and Morrison",751638.0,2016-03-19,Cash
697,8447,Duncan LLC,184373.0,2023-06-13,Cash
702,47453,Martin-Wheeler,4.0,1977-09-21,Credit Card
703,27310,"Flores, White and Long",44639.0,2001-04-13,Cash
707,43771,"Huffman, Petty and Sharp",42.0,2012-11-10,Cash
708,9235,Anderson-Jones,370.0,2014-01-28,Cash
709,21723,Mcmahon-Mckee,6202918.0,1990-03-26,Debit Card
714,21619,Allen and Sons,470784.0,1992-02-22,E-wallet
715,10542,"Howell, Robinson and Salas",6.0,2017-05-28,E-wallet
717,58236,"Little, Dorsey and Jimenez",30241986.0,1984-11-03,E-wallet
724,44100,Sullivan Inc,98846478.0,1989-04-26,Cryptocurrency
725,59221,Cook Ltd,54863269.0,1985-04-20,Contactless Card
727,53374,"Roberts, Church and Day",5856570.0,2011-04-20,Cryptocurrency
731,4946,"Martin, Perez and Frost",27327.0,1985-05-19,Contactless Card
732,32780,"Pierce, Smith and Rodriguez",38.0,1997-12-30,Contactless Card
733,4648,Rodriguez-Hunt,43.0,1990-04-01,Check
735,43439,Scott Ltd,1563616.0,1993-08-22,Cash
738,48783,Walton-Cruz,5.0,1975-05-19,Cash
742,7409,Crosby and Sons,5.0,1993-11-17,E-wallet
752,7850,Castro and Sons,96030650.0,1982-06-21,Mobile Payment
753,62450,Clark-Knight,275.0,1988-04-23,Bank Transfer
754,1920,Padilla LLC,27706.0,2002-12-11,Check
755,54915,Moss-Peters,79010448.0,2005-10-15,Credit Card
756,2458,Butler Inc,4425099.0,2012-12-14,Check
761,20605,Fleming-Pacheco,345764583.0,2002-05-05,E-wallet
762,59145,Huber-Browning,5.0,2004-12-11,Contactless Card
763,43965,"Owens, Rush and Miller",7933023.0,1993-01-24,E-wallet
769,21340,"Lara, Richard and Marsh",21270.0,1985-06-07,Credit Card
776,6732,Rogers Group,8258666.0,2005-10-15,Contactless Card
777,63009,Marsh-Weiss,3137579.0,2023-09-11,Check
778,22083,Jensen-Nguyen,6487.0,1985-01-05,E-wallet
780,38539,Avery-King,130408589.0,1992-03-01,Contactless Card
784,18777,Shaw Group,577.0,1999-05-06,Mobile Payment
785,4557,"Baker, Lane and Dunn",89029802.0,2019-08-27,Credit Card
788,41945,"Thomas, Williams and Cook",889.0,1996-08-28,Bank Transfer
789,6995,"Sanchez, Huffman and Williams",3304559.0,1989-03-16,Bank Transfer
791,43876,Ray-Young,4798037.0,2003-08-13,Credit Card
792,60012,Harris-Burgess,7742.0,1993-03-05,Bank Transfer
801,54816,Smith-Murray,571.0,1971-02-14,Cryptocurrency
802,60642,"Thompson, Kennedy and Johnson",873789326.0,1970-10-18,Bank Transfer
805,46498,"Schultz, Moore and Dean",9300.0,2022-06-11,Prepaid Card
806,33432,"Hartman, Taylor and Richardson",2.0,2015-03-18,Prepaid Card
808,7992,Taylor PLC,3283.0,1991-10-26,Cryptocurrency
811,52369,"Jones, Buchanan and Campbell",913577702.0,1980-01-01,E-wallet
814,46619,Fry-Delgado,7783054.0,2000-03-05,Cash
815,54527,"Gordon, Perez and Jacobs",5.0,1973-04-12,Contactless Card
817,31133,"Short, Johnson and Newton",4.0,2000-05-25,Cash
820,5556,Kirby Inc,7.0,2016-07-11,Contactless Card
824,18502,Foster-Lee,526.0,1976-08-23,Cash
826,630,"Simpson, Bishop and Roberts",5674273.0,1999-12-02,Debit Card
832,21864,"Thomas, Smith and Morales",38907237.0,1995-07-05,Cryptocurrency
845,23626,"Walker, Turner and Johnson",406028447.0,1986-02-23,Cryptocurrency
846,46034,Pierce-Garcia,32583268.0,1990-08-12,Cash
853,61765,Vasquez Group,5306.0,1987-06-10,E-wallet
857,43117,"Hernandez, Hardin and Schmidt",8.0,2018-10-25,Prepaid Card
858,54710,Sandoval-Gonzales,597512.0,2002-09-24,Check
861,41770,Rubio-Brown,74.0,2014-05-15,Prepaid Card
862,48083,Perry-Martinez,286.0,1993-06-06,Check
864,17176,Colon-Dalton,3603301.0,1999-06-26,Cryptocurrency
865,29891,"Watson, Montoya and Mccullough",9518576.0,2020-05-01,Cryptocurrency
867,22695,"Oconnor, Fry and Lawrence",706936.0,2021-09-11,Cryptocurrency
869,44843,Davis and Sons,5815114.0,2017-05-13,Contactless Card
871,53554,"Copeland, Barber and Lewis",9619.0,2012-04-14,Cryptocurrency
884,9525,Horton Group,2232.0,2012-06-19,Mobile Payment
885,58923,"Waller, Robles and Gomez",784.0,1973-10-08,Debit Card
887,48859,Mosley Inc,48771080.0,1990-01-20,Debit Card
890,3102,Clark LLC,5801.0,1980-01-03,E-wallet
892,63047,Ochoa LLC,637485727.0,1983-03-12,Contactless Card
893,57429,Petersen-Jimenez,7529049.0,2008-05-02,Credit Card
894,24234,Flynn-Silva,6691356.0,1985-09-16,Prepaid Card
895,49636,Howard-Gray,77.0,1991-05-17,Cash
896,36047,Hart Group,9570.0,1990-06-30,Bank Transfer
897,12914,Perkins Ltd,77125330.0,1998-12-13,E-wallet
903,29051,Scott-Keith,31352158.0,1980-06-06,E-wallet
905,27353,"Huerta, Roberts and Sawyer",6431158.0,1998-10-09,Contactless Card
907,54522,"Campbell, Burke and Stevens",606449522.0,1987-11-27,Mobile Payment
912,5279,"Levy, Sanders and Washington",518.0,1980-08-06,Mobile Payment
913,1267,Woodard-Page,1.0,1971-06-20,Contactless Card
916,21484,"Guzman, Cannon and Johnson",4437949.0,1998-07-13,E-wallet
919,3997,Houston-Wolfe,9161428.0,2012-10-05,Debit Card
923,19440,"Dean, Coffey and Davidson",212131055.0,1999-12-24,Mobile Payment
927,58681,Franklin-Jensen,3453356.0,1998-12-22,Cash
932,55602,Lewis-Trujillo,908684.0,1984-07-26,Cryptocurrency
933,46615,Russell PLC,3.0,2008-10-06,Debit Card
935,837,Yang LLC,9024.0,2001-11-25,E-wallet
937,50479,"Carroll, Davis and Cook",6099398.0,1999-07-10,Debit Card
942,9664,Morse LLC,7.0,2018-06-03,Contactless Card
943,12192,"Castaneda, Berger and Reese",9047.0,2001-08-09,E-wallet
944,36844,Maxwell LLC,59687.0,1971-03-19,Cash
945,57290,Greene and Sons,974.0,1975-06-23,Bank Transfer
946,3145,"Chandler, Carroll and Miller",6.0,2013-11-18,Mobile Payment
952,46983,Adkins and Sons,902598694.0,1997-02-03,Cryptocurrency
953,35417,Robertson Ltd,503.0,2008-03-10,Contactless Card
957,9561,"Austin, Andrews and Mckinney",7487826.0,1989-10-08,E-wallet
958,16967,Dean Ltd,6720339.0,1993-03-30,Prepaid Card
959,54894,Singleton LLC,3551.0,1980-03-26,Contactless Card
962,59079,"Cross, Stafford and Novak",94673.0,1975-05-31,Check
963,38512,"Lewis, Ferguson and Avila",460082.0,1999-09-06,Mobile Payment
964,22616,Lucas Inc,23.0,2013-03-10,Cryptocurrency
966,9364,"Price, Hensley and Garcia",70100.0,2006-12-23,Debit Card
969,39096,Ellis Inc,703465.0,1974-02-24,Check
970,37265,Anderson and Sons,10484.0,2000-12-20,Mobile Payment
974,18512,"Harris, White and Carroll",45458007.0,1978-10-09,Bank Transfer
975,48330,Crosby PLC,961640636.0,2023-10-23,Contactless Card
976,57066,Salinas-Harper,8518.0,1980-02-14,Credit Card
987,62720,Smith LLC,900921.0,2023-01-07,Check
988,35536,Wilson LLC,262652679.0,2022-10-17,Credit Card
989,16147,Jones Group,245855176.0,2014-01-30,Check
991,16014,Shah LLC,371050.0,1993-04-22,E-wallet
993,21155,Gibbs-Munoz,39897551.0,1986-01-08,Debit Card
994,7076,"Coleman, Walker and Flores",14522552.0,1997-10-14,Contactless Card
995,41783,Green-Cobb,74.0,1995-03-01,Cash
996,21432,"Ross, Miller and Daniel",86135.0,1979-06-13,Contactless Card
998,14743,Carter and Sons,6.0,1977-12-19,E-wallet
999,1196,"Davis, Johnson and Lee",1240033.0,2003-01-09,E-wallet
1002,1264,Sullivan-Mason,5.0,1976-02-23,Cryptocurrency
1004,27565,Diaz-Carpenter,70142.0,1978-09-15,Prepaid Card
1007,39738,Fischer-Gutierrez,819587.0,1997-10-27,Check
1008,39309,Brown-Smith,783477.0,1986-05-04,E-wallet
1009,42183,"Smith, Gonzalez and Wilson",29171729.0,2014-03-20,Cash
1013,40194,"Barnes, Oconnell and Anderson",7218.0,2006-01-03,Debit Card
1014,64607,Spears-Baker,2328248.0,1997-01-21,Contactless Card
1016,21551,"Duran, Moore and Ross",284.0,2002-01-04,Prepaid Card
1021,25131,Brooks-Walker,68738696.0,1971-12-08,Contactless Card
1022,5206,"Flores, Lozano and Ramirez",7.0,1980-10-02,Cash
1024,17573,Foster and Sons,154868.0,1976-09-17,Mobile Payment
1025,62442,"Watkins, Peterson and Alexander",79615222.0,2002-05-16,Bank Transfer
1026,18695,"Keith, Tanner and Smith",9.0,1984-02-17,Contactless Card
1028,25990,Everett PLC,4635.0,1982-03-10,Bank Transfer
1029,45105,"Miller, Ramirez and Dominguez",568164.0,2017-12-28,Bank Transfer
1036,58787,"Smith, Holden and Cowan",830641897.0,2021-08-03,Prepaid Card
1040,36417,"Jones, Valdez and Howard",539.0,2015-01-04,Check
1041,54380,Cohen Inc,4804.0,1985-12-15,Bank Transfer
1042,43080,Anderson-Smith,199192.0,1978-06-01,Check
1044,11436,Carter LLC,79124.0,1973-03-25,Contactless Card
1045,19457,"Cooper, Huerta and Woods",3.0,2001-10-16,Credit Card
1047,5681,"Warren, Lee and Carter",355116.0,1976-08-20,Check
1051,12869,"Williams, Barber and Sims",368.0,2007-04-06,Mobile Payment
1053,19348,Vasquez Ltd,13283320.0,1971-10-21,Bank Transfer
1060,1809,Gutierrez-Roy,536.0,2012-10-12,Cryptocurrency
1070,49166,"Moore, Johnson and Cooley",688.0,1970-10-18,Prepaid Card
1074,23947,Duran-Wilson,84.0,1993-09-27,Prepaid Card
1077,50123,Thomas Group,19289952.0,1993-02-27,Prepaid Card
1078,3247,Mann PLC,347679.0,1976-08-09,Cash
1079,35482,Lam-Green,5272774.0,2004-07-28,Debit Card
1080,19148,"Alexander, Perez and Reid",3410630.0,1973-11-13,Cash
1084,44810,"Bruce, Chen and Medina",8482268.0,2000-02-15,Check
1088,60823,"Sullivan, Banks and Short",548747.0,1996-12-02,Mobile Payment
1095,10162,Wagner and Sons,1372.0,2006-01-12,Contactless Card
1096,59060,"Watkins, Mccall and Lara",53350225.0,2008-03-03,Mobile Payment
1097,62777,Marshall-Richards,7.0,1970-10-04,Cash
1098,47021,"Little, Salazar and Padilla",391477.0,1982-07-20,Cryptocurrency
1102,26395,"Mills, Pennington and Thomas",796.0,1990-09-14,Bank Transfer
1106,56679,Gibson PLC,88.0,1987-12-04,Cryptocurrency
1111,45456,Vazquez-Bryant,99.0,2017-02-15,E-wallet
1112,10026,Jordan and Sons,4.0,1987-09-28,Check
1113,3472,Avila-Garcia,7298779.0,2014-01-08,Bank Transfer
1115,35702,"Jones, Robles and Hayes",7.0,2010-09-05,Contactless Card
1116,58091,Crane LLC,619.0,1971-05-17,Cash
1117,43156,Clark-Goodman,160018158.0,1989-02-17,E-wallet
1122,61833,Underwood-Burton,55747.0,2022-11-18,Cash
1123,42368,Howard Ltd,677.0,1996-07-31,Cash
1124,5669,"Vaughan, Livingston and Shelton",13861.0,1994-10-04,E-wallet
1133,1104,Smith-Gregory,55302.0,1979-08-22,E-wallet
1135,51158,Robertson-Sherman,51.0,1981-08-12,Mobile Payment
1137,32375,Wilkins-Harris,91.0,2009-04-03,Debit Card
1139,60140,"Jones, Butler and Jones",23198.0,1991-10-18,Cash
1144,33977,Mueller-Perez,667.0,1972-06-13,Contactless Card
1145,28983,"Patterson, Rush and Simmons",6696.0,1991-03-27,Check
1147,32181,"Garza, Garcia and Pugh",244.0,1970-05-04,Cash
1148,57514,Price-Page,69.0,1997-05-15,E-wallet
1158,41770,"Watson, Turner and Shaw",2877101.0,2011-03-15,Cash
1160,25434,"Medina, Smith and Santos",588.0,2023-04-23,E-wallet
1183,38599,Henderson and Sons,109280244.0,2016-06-02,Bank Transfer
1193,2009,Johnson-Ward,43.0,1997-02-21,Credit Card
