log_id,customer_id,communication_type,timestamp
190,46456,Phone,0 days 09:34:01
191,20103,Online Chat,0 days 05:40:50
195,29884,Phone,0 days 22:28:13
198,46614,Mobile App,0 days 20:40:52
200,49344,Postal Mail,0 days 06:00:26
201,37355,In-person,0 days 01:01:42
207,51127,In-person,0 days 06:33:53
209,50664,In-person,0 days 02:42:11
211,7713,Email,0 days 14:29:24
216,58304,Mobile App,0 days 23:41:46
217,62396,Postal Mail,0 days 08:33:57
224,4786,Mobile App,0 days 09:52:05
226,53399,In-person,0 days 08:54:16
237,30288,Phone,0 days 12:58:36
241,52344,Mobile App,0 days 11:07:29
243,29075,In-person,0 days 12:29:22
244,54551,Phone,0 days 06:34:23
246,25251,In-person,0 days 23:42:44
247,55370,Mobile App,0 days 17:51:31
249,63935,Online Chat,0 days 03:28:21
252,25203,Postal Mail,0 days 23:00:01
254,45567,Email,0 days 00:40:25
257,35439,Postal Mail,0 days 16:39:49
258,5211,Email,0 days 18:11:20
265,8515,Email,0 days 15:35:11
268,16172,Postal Mail,0 days 00:50:50
272,30037,Mobile App,0 days 13:59:01
274,62104,Online Chat,0 days 10:37:38
280,64092,Email,0 days 02:38:23
282,18647,Mobile App,0 days 08:01:33
285,2444,Email,0 days 14:35:04
287,8438,Mobile App,0 days 03:38:42
289,35834,Postal Mail,0 days 00:32:43
291,54362,Mobile App,0 days 00:02:55
294,51238,Postal Mail,0 days 05:42:07
297,62512,Phone,0 days 15:36:13
298,43654,Postal Mail,0 days 14:43:47
299,2047,In-person,0 days 07:54:19
302,18387,Online Chat,0 days 17:03:32
303,29936,Postal Mail,0 days 07:30:28
306,51048,Online Chat,0 days 05:27:42
308,35122,In-person,0 days 21:42:20
309,859,Phone,0 days 23:20:15
315,20344,Online Chat,0 days 21:18:02
318,13942,In-person,0 days 23:44:13
319,63859,In-person,0 days 15:26:38
323,8364,Postal Mail,0 days 20:19:39
325,14705,Mobile App,0 days 14:44:41
327,48603,Postal Mail,0 days 02:37:16
328,2545,In-person,0 days 10:33:33
329,31256,Mobile App,0 days 11:39:23
334,61100,In-person,0 days 00:36:14
335,10370,Mobile App,0 days 20:54:28
340,12779,Phone,0 days 00:21:34
344,30073,Email,0 days 18:22:04
353,34913,Online Chat,0 days 02:32:42
355,31576,In-person,0 days 00:40:22
359,34947,Mobile App,0 days 03:35:32
360,33258,Mobile App,0 days 14:17:28
371,21910,In-person,0 days 07:48:14
372,10892,Mobile App,0 days 19:45:57
377,29713,Online Chat,0 days 22:40:16
378,22181,Online Chat,0 days 05:42:02
381,53823,Phone,0 days 15:08:32
384,62151,Email,0 days 04:51:48
387,36615,Online Chat,0 days 06:00:48
395,24547,Postal Mail,0 days 20:31:08
410,21389,In-person,0 days 12:37:17
411,61623,In-person,0 days 08:08:17
413,33911,Online Chat,0 days 01:50:38
416,46353,Online Chat,0 days 05:18:16
419,2848,In-person,0 days 11:03:25
421,27246,Phone,0 days 17:12:31
428,221,Email,0 days 15:18:30
433,22792,Online Chat,0 days 11:43:28
434,1187,Mobile App,0 days 09:16:40
438,4390,Email,0 days 23:49:54
440,13065,Phone,0 days 00:59:32
441,13623,Email,0 days 15:32:35
443,14295,Phone,0 days 22:03:58
444,24258,Online Chat,0 days 13:23:22
446,26973,Online Chat,0 days 11:37:51
451,15524,Phone,0 days 15:11:14
453,13405,Mobile App,0 days 13:46:37
455,32128,In-person,0 days 07:51:14
461,58418,Mobile App,0 days 17:25:20
466,4795,Mobile App,0 days 10:27:02
470,38519,Online Chat,0 days 12:54:37
473,30741,Email,0 days 16:18:25
474,45165,Online Chat,0 days 08:18:33
478,28785,Online Chat,0 days 14:11:41
481,58759,Phone,0 days 18:40:49
482,64687,In-person,0 days 03:05:34
484,49145,In-person,0 days 13:44:47
491,40047,Mobile App,0 days 05:01:43
492,49148,Phone,0 days 04:35:18
500,57608,Postal Mail,0 days 20:16:26
501,17562,Mobile App,0 days 08:03:52
502,36567,Email,0 days 14:03:30
508,16883,Online Chat,0 days 05:08:19
509,62128,Mobile App,0 days 17:25:10
511,20205,Phone,0 days 08:59:52
522,49043,Mobile App,0 days 04:14:11
523,9524,Online Chat,0 days 10:03:36
525,49954,Postal Mail,0 days 08:34:38
527,40052,Mobile App,0 days 02:36:32
534,47251,Email,0 days 07:14:05
537,40937,Online Chat,0 days 06:59:41
538,35957,Postal Mail,0 days 16:49:46
545,16353,Postal Mail,0 days 12:41:47
547,13085,Email,0 days 22:29:21
551,21420,Postal Mail,0 days 00:39:06
552,30881,Online Chat,0 days 16:24:36
553,51144,Online Chat,0 days 10:18:28
554,64159,Postal Mail,0 days 19:02:22
557,44164,Phone,0 days 18:16:59
559,24657,Postal Mail,0 days 22:27:13
560,47621,In-person,0 days 04:36:25
569,53631,In-person,0 days 15:16:21
570,40674,In-person,0 days 19:19:56
573,32149,Online Chat,0 days 17:09:15
576,10229,Mobile App,0 days 11:05:40
579,29641,Mobile App,0 days 21:27:00
582,42160,Phone,0 days 22:15:45
583,50882,Mobile App,0 days 04:22:56
584,31808,Email,0 days 18:35:36
594,4962,Online Chat,0 days 00:05:23
595,35297,Email,0 days 09:35:14
596,55017,Online Chat,0 days 19:07:19
598,56065,Mobile App,0 days 20:28:08
601,33308,Phone,0 days 14:01:12
603,55614,Phone,0 days 16:46:23
604,11140,Online Chat,0 days 05:36:19
605,21020,Postal Mail,0 days 13:41:55
609,35227,Online Chat,0 days 19:00:05
611,751,In-person,0 days 08:43:58
614,25670,Email,0 days 14:36:24
615,3842,Phone,0 days 20:20:52
622,53288,Postal Mail,0 days 13:31:40
627,38684,In-person,0 days 15:01:23
631,54218,Mobile App,0 days 12:39:12
633,20743,Online Chat,0 days 06:42:42
644,60391,Mobile App,0 days 09:34:53
645,48062,Email,0 days 02:19:36
649,6764,Phone,0 days 16:32:48
650,15879,Postal Mail,0 days 07:26:02
651,37159,Phone,0 days 14:44:23
652,44190,Mobile App,0 days 15:49:19
660,448,In-person,0 days 19:59:30
663,17463,Online Chat,0 days 12:26:02
665,1353,Online Chat,0 days 03:12:51
666,36605,Postal Mail,0 days 10:53:52
670,34246,Postal Mail,0 days 07:51:45
673,53812,Email,0 days 08:20:02
676,26132,Phone,0 days 02:58:30
678,4289,Phone,0 days 04:50:06
681,19325,Online Chat,0 days 17:47:36
683,15409,In-person,0 days 10:34:37
684,33905,Mobile App,0 days 08:42:44
691,46225,Online Chat,0 days 08:44:25
693,42421,Email,0 days 18:15:06
694,12892,In-person,0 days 03:35:48
696,60025,Postal Mail,0 days 08:27:10
697,26332,Phone,0 days 16:44:50
700,59059,Mobile App,0 days 04:19:10
704,40762,Postal Mail,0 days 16:19:55
705,13862,Phone,0 days 16:10:12
707,44803,Online Chat,0 days 16:23:59
708,28595,Phone,0 days 22:31:46
710,62984,Postal Mail,0 days 10:51:17
716,60588,Mobile App,0 days 02:38:07
719,56390,Postal Mail,0 days 05:45:32
723,27765,Online Chat,0 days 17:52:31
724,3354,Online Chat,0 days 09:43:52
728,65356,Postal Mail,0 days 07:29:34
732,39693,Postal Mail,0 days 11:10:57
733,54233,Phone,0 days 07:47:27
734,4306,In-person,0 days 09:07:29
740,25562,Phone,0 days 04:57:27
744,2403,Postal Mail,0 days 06:26:12
745,63420,In-person,0 days 20:03:56
756,22094,In-person,0 days 17:18:55
758,10250,Phone,0 days 00:18:16
760,24197,Phone,0 days 01:20:20
762,11686,In-person,0 days 20:01:58
763,10526,Mobile App,0 days 21:21:51
767,2518,Online Chat,0 days 14:05:22
769,27422,Online Chat,0 days 19:25:24
771,63717,Phone,0 days 01:29:32
779,59524,Mobile App,0 days 02:39:39
781,8990,Postal Mail,0 days 10:43:28
783,35104,Online Chat,0 days 10:15:09
788,30266,In-person,0 days 12:20:06
790,17605,Phone,0 days 07:15:52
792,8104,Email,0 days 16:29:39
793,37298,Postal Mail,0 days 17:23:16
795,34676,Mobile App,0 days 06:39:46
798,6168,Postal Mail,0 days 22:25:24
803,1561,Mobile App,0 days 21:00:41
805,47333,Online Chat,0 days 15:03:54
807,21396,Online Chat,0 days 05:54:14
817,61974,Online Chat,0 days 04:20:12
819,21514,Email,0 days 18:40:27
821,37268,Online Chat,0 days 11:54:06
822,63447,Postal Mail,0 days 16:05:14
824,64466,Postal Mail,0 days 09:50:41
826,11551,Online Chat,0 days 03:46:25
827,13140,Mobile App,0 days 16:27:36
830,58899,Phone,0 days 16:16:15
833,22546,Postal Mail,0 days 04:44:48
835,19136,In-person,0 days 07:04:24
836,27916,Online Chat,0 days 21:50:58
838,2781,Online Chat,0 days 13:51:28
839,33845,Postal Mail,0 days 03:34:04
842,28806,Phone,0 days 06:35:08
844,7686,Postal Mail,0 days 03:10:25
847,49406,Mobile App,0 days 22:09:37
849,14777,Phone,0 days 03:41:14
850,35217,Online Chat,0 days 09:01:39
851,63485,Online Chat,0 days 13:57:42
852,11544,Online Chat,0 days 21:46:00
868,59377,In-person,0 days 14:22:11
871,58220,In-person,0 days 02:49:18
872,17403,Mobile App,0 days 02:51:54
873,14829,Online Chat,0 days 16:11:10
876,14887,Online Chat,0 days 16:02:31
878,54119,Phone,0 days 23:41:37
881,15452,Online Chat,0 days 00:32:30
883,34393,Postal Mail,0 days 14:00:35
885,526,Postal Mail,0 days 02:26:52
886,17403,Phone,0 days 01:17:40
889,2252,Mobile App,0 days 11:39:34
890,63575,Email,0 days 23:25:17
892,15393,Mobile App,0 days 10:48:00
895,4627,Online Chat,0 days 18:37:56
900,8994,In-person,0 days 12:08:59
901,11143,Phone,0 days 00:49:58
903,49669,Online Chat,0 days 01:03:48
905,9254,Phone,0 days 13:45:59
906,56689,Email,0 days 08:16:48
907,47197,Email,0 days 09:37:51
909,45418,Online Chat,0 days 00:15:49
911,41289,Email,0 days 21:16:12
916,28267,Online Chat,0 days 04:29:26
919,11841,Mobile App,0 days 11:28:57
921,28445,Postal Mail,0 days 23:30:38
923,32941,Phone,0 days 14:55:58
934,2979,Postal Mail,0 days 07:27:46
943,4657,Mobile App,0 days 15:51:20
944,30748,Mobile App,0 days 15:21:32
945,41132,In-person,0 days 22:56:02
948,3940,Email,0 days 03:05:57
949,16574,Online Chat,0 days 22:14:35
951,50217,Mobile App,0 days 03:30:15
952,63963,Online Chat,0 days 07:38:14
953,42074,Postal Mail,0 days 02:22:04
956,37644,Phone,0 days 13:41:57
958,49768,In-person,0 days 09:15:43
959,14328,Email,0 days 00:48:11
961,61591,Online Chat,0 days 23:20:59
962,47288,Email,0 days 22:29:59
963,11994,Mobile App,0 days 03:31:24
964,14541,Mobile App,0 days 22:06:54
966,57909,Postal Mail,0 days 16:18:14
974,57279,Email,0 days 12:16:52
975,34200,Online Chat,0 days 09:00:57
976,6241,Email,0 days 16:59:48
977,64099,Online Chat,0 days 23:45:54
980,49053,Postal Mail,0 days 06:30:10
982,19801,Phone,0 days 09:22:50
985,30734,Mobile App,0 days 20:55:39
986,28063,Email,0 days 04:14:46
989,32260,Mobile App,0 days 10:10:37
990,19262,Postal Mail,0 days 16:30:44
993,17027,In-person,0 days 10:39:48
998,17078,Postal Mail,0 days 05:43:01
999,28384,In-person,0 days 11:46:48
1000,32455,Mobile App,0 days 16:15:18
1004,13813,Online Chat,0 days 10:50:08
1007,25088,In-person,0 days 02:56:39
1013,28221,Mobile App,0 days 17:46:15
1015,11367,Online Chat,0 days 08:42:17
1017,60253,Postal Mail,0 days 18:33:42
1018,5705,Email,0 days 14:13:46
1019,23716,Mobile App,0 days 03:50:28
1020,25538,Mobile App,0 days 09:16:39
1028,8791,Mobile App,0 days 10:47:05
1029,39900,Phone,0 days 19:50:50
1031,18312,In-person,0 days 12:51:48
1039,59776,Email,0 days 10:24:21
1041,46548,Postal Mail,0 days 20:42:45
1042,52928,Postal Mail,0 days 23:56:28
1044,34490,Online Chat,0 days 20:56:59
1046,55538,Mobile App,0 days 03:32:59
1047,22220,In-person,0 days 09:58:32
1049,18781,Postal Mail,0 days 00:29:33
1050,12770,Email,0 days 11:00:54
1051,65179,In-person,0 days 17:08:24
1054,32437,Online Chat,0 days 22:27:31
1056,12457,Postal Mail,0 days 23:35:38
1057,59538,Phone,0 days 18:14:08
1059,26350,Phone,0 days 03:42:55
1064,11349,Online Chat,0 days 03:31:42
1067,744,In-person,0 days 01:54:44
1068,20173,In-person,0 days 22:25:57
1069,7973,Phone,0 days 06:00:01
1071,56018,Postal Mail,0 days 11:35:36
1079,6487,Online Chat,0 days 03:41:21
1081,25330,Phone,0 days 12:33:21
1082,34981,Mobile App,0 days 03:37:14
1086,64993,Mobile App,0 days 15:50:04
1087,13141,In-person,0 days 10:18:28
1089,17934,Phone,0 days 14:02:52
1090,28630,In-person,0 days 06:11:38
1091,27782,Email,0 days 15:55:05
1100,47697,Mobile App,0 days 22:58:12
1102,44999,Online Chat,0 days 20:42:04
1105,17060,Mobile App,0 days 08:51:36
1107,30714,Phone,0 days 19:59:41
1110,39810,Email,0 days 00:39:34
1113,32364,Mobile App,0 days 07:27:03
1116,61873,Postal Mail,0 days 05:49:10
1117,61306,In-person,0 days 09:47:22
1120,42088,Mobile App,0 days 03:24:09
1121,58073,Mobile App,0 days 10:27:10
1124,27187,Online Chat,0 days 22:55:41
1125,54752,Postal Mail,0 days 06:40:16
1132,41197,Online Chat,0 days 02:57:40
1135,50647,Phone,0 days 05:00:37
1136,26578,Postal Mail,0 days 23:56:26
1141,21626,Mobile App,0 days 17:43:09
1150,11823,Online Chat,0 days 23:53:25
1152,63945,Postal Mail,0 days 17:12:56
1156,60085,In-person,0 days 04:03:57
1158,65094,Phone,0 days 10:06:33
1160,12923,Postal Mail,0 days 17:15:41
1161,38975,In-person,0 days 07:34:09
1163,26292,Mobile App,0 days 10:21:39
1166,10912,Email,0 days 17:09:07
1167,63307,Email,0 days 16:15:53
1172,11441,Mobile App,0 days 16:54:30
1181,33555,Email,0 days 03:18:54
1184,37766,In-person,0 days 02:37:48
1187,59852,Phone,0 days 04:19:35
1189,397,Phone,0 days 14:19:00
1191,12198,Phone,0 days 00:31:07
1194,49628,In-person,0 days 00:08:38
1196,26046,Mobile App,0 days 22:52:41
1198,26532,Online Chat,0 days 20:01:45
1201,57088,Email,0 days 13:51:40
1202,7261,Postal Mail,0 days 22:54:22
1203,24267,Online Chat,0 days 03:02:31
1204,11467,In-person,0 days 13:39:08
1205,41778,Email,0 days 03:48:23
1208,7787,Postal Mail,0 days 08:09:41
1210,37244,Phone,0 days 21:53:53
1213,6912,Postal Mail,0 days 10:48:33
1217,56105,Email,0 days 19:42:29
1219,51788,Online Chat,0 days 02:43:37
1224,18375,Online Chat,0 days 01:42:33
1228,31008,Online Chat,0 days 13:44:33
1231,15098,Postal Mail,0 days 17:08:57
1232,21942,Phone,0 days 04:36:31
1233,47116,Mobile App,0 days 17:43:43
1234,12509,Mobile App,0 days 17:54:10
1236,30010,Online Chat,0 days 03:52:36
1237,12216,Email,0 days 02:39:22
1240,44901,Phone,0 days 11:03:26
1241,39402,Postal Mail,0 days 15:45:28
1244,52799,Phone,0 days 14:24:22
1247,56011,Postal Mail,0 days 01:01:12
1248,52447,Email,0 days 07:25:34
1252,55239,Phone,0 days 23:20:42
1257,16305,In-person,0 days 04:06:08
1262,61939,Postal Mail,0 days 12:48:16
1264,47499,Postal Mail,0 days 23:30:59
1273,62240,Online Chat,0 days 14:14:33
1276,18923,Mobile App,0 days 01:23:56
1277,41838,Online Chat,0 days 22:24:15
1279,4977,In-person,0 days 12:14:55
1280,64107,Postal Mail,0 days 12:40:53
1286,61069,Online Chat,0 days 16:30:52
1288,30064,Phone,0 days 10:22:36
1290,25900,In-person,0 days 08:59:47
1293,33327,Postal Mail,0 days 01:56:55
1294,4051,Online Chat,0 days 03:26:37
1295,27485,Email,0 days 12:28:44
1296,15126,Mobile App,0 days 22:49:04
1299,27924,Phone,0 days 16:51:03
1300,3330,Mobile App,0 days 17:15:46
1302,54907,Postal Mail,0 days 22:00:55
1304,39436,In-person,0 days 20:24:24
1305,57226,Email,0 days 20:30:44
1306,59101,Email,0 days 15:52:42
1307,60618,Phone,0 days 21:01:49
1311,2830,Postal Mail,0 days 07:56:44
1312,10250,In-person,0 days 02:30:19
1314,58504,Mobile App,0 days 19:39:37
1315,7432,Email,0 days 05:47:13
1317,42258,In-person,0 days 14:23:21
1318,21951,Email,0 days 17:46:42
1319,34078,Email,0 days 17:11:07
1324,57464,In-person,0 days 09:09:18
1326,11475,In-person,0 days 03:03:07
1330,4297,Phone,0 days 20:29:20
1331,37983,Phone,0 days 19:55:14
1338,14426,In-person,0 days 18:30:12
1347,41138,Online Chat,0 days 19:22:25
1353,47855,Phone,0 days 16:04:30
1358,43816,Mobile App,0 days 02:47:48
1364,25176,In-person,0 days 05:18:59
1365,56513,Postal Mail,0 days 01:32:43
1368,7133,Online Chat,0 days 04:41:01
1369,20197,Mobile App,0 days 08:20:47
1371,53254,Postal Mail,0 days 04:27:26
1374,46474,Online Chat,0 days 23:33:10
1375,41823,Email,0 days 04:01:23
1376,39573,Mobile App,0 days 22:09:33
1379,30320,Postal Mail,0 days 17:00:23
1387,65433,Mobile App,0 days 18:48:13
1389,25863,In-person,0 days 17:04:30
1390,44717,In-person,0 days 01:27:53
1391,12359,Mobile App,0 days 00:59:05
1393,40833,Phone,0 days 11:08:59
1394,2686,Phone,0 days 12:40:34
1396,59057,Email,0 days 13:41:59
1398,61857,Email,0 days 13:04:44
1400,51882,Online Chat,0 days 20:33:25
1401,28644,Mobile App,0 days 13:43:23
1403,23058,In-person,0 days 08:00:34
1408,48194,Postal Mail,0 days 14:50:09
1411,47983,Email,0 days 15:18:59
1415,55831,Email,0 days 20:15:37
1417,49307,Online Chat,0 days 10:36:00
1420,40292,Email,0 days 07:13:06
1421,29812,Email,0 days 22:31:53
1424,29918,Phone,0 days 01:16:01
1428,56219,Mobile App,0 days 01:52:05
1432,59852,Postal Mail,0 days 11:29:23
1436,65195,Mobile App,0 days 10:13:06
1438,13699,Postal Mail,0 days 07:03:57
1441,64279,Online Chat,0 days 02:36:12
1442,18247,Email,0 days 11:15:16
1443,9922,Mobile App,0 days 11:37:31
1445,56467,Mobile App,0 days 02:00:32
1446,62897,Phone,0 days 15:07:16
1447,21559,In-person,0 days 12:32:58
1453,51305,Email,0 days 15:26:53
1459,7957,Postal Mail,0 days 18:54:38
1460,2059,Email,0 days 09:08:01
1469,32674,In-person,0 days 02:55:59
1472,43550,Online Chat,0 days 18:18:35
1473,14477,Postal Mail,0 days 14:22:27
1474,26864,Online Chat,0 days 10:13:18
1475,53685,Phone,0 days 12:13:47
1483,57460,In-person,0 days 19:31:43
1487,5187,Phone,0 days 08:01:47
1490,13726,In-person,0 days 22:21:04
1492,54319,In-person,0 days 16:15:55
1494,52783,Postal Mail,0 days 12:36:50
1496,33736,In-person,0 days 19:41:51
1498,35779,Mobile App,0 days 10:43:53
1500,25888,Mobile App,0 days 04:33:02
1501,9854,In-person,0 days 03:33:39
1503,28833,Postal Mail,0 days 20:54:44
1505,9400,Postal Mail,0 days 08:25:30
1506,19653,In-person,0 days 02:48:48
1508,41906,Mobile App,0 days 11:18:37
1512,40516,Email,0 days 08:46:31
1513,513,Postal Mail,0 days 16:50:50
1515,16164,Mobile App,0 days 16:51:06
1516,49588,Postal Mail,0 days 10:59:31
1519,36483,Online Chat,0 days 14:54:12
1523,47538,Phone,0 days 13:57:48
1524,23514,Mobile App,0 days 07:21:32
1525,64369,Postal Mail,0 days 00:12:47
1529,44014,Phone,0 days 10:51:45
1530,10485,In-person,0 days 19:33:56
1531,24681,Postal Mail,0 days 02:28:34
1535,24667,Mobile App,0 days 06:18:37
1536,11676,Mobile App,0 days 14:05:37
1537,52475,Mobile App,0 days 07:30:01
1538,54349,Online Chat,0 days 06:18:00
1539,24359,Email,0 days 15:22:42
1540,35810,Email,0 days 18:53:39
1548,2012,In-person,0 days 13:54:59
1549,27387,Mobile App,0 days 16:06:22
1556,53255,Postal Mail,0 days 20:18:15
1558,61759,Email,0 days 04:08:23
1561,29123,Mobile App,0 days 03:35:57
1565,6290,Online Chat,0 days 15:23:13
1566,22605,Email,0 days 16:48:50
1568,48229,Online Chat,0 days 19:19:39
1569,9034,Online Chat,0 days 19:32:26
1570,57887,Email,0 days 14:01:20
1572,19281,In-person,0 days 11:07:02
1575,65238,In-person,0 days 07:50:20
1576,26230,Mobile App,0 days 07:12:59
1577,28806,Email,0 days 05:08:09
1578,49767,Online Chat,0 days 21:33:35
1579,24262,Email,0 days 20:15:06
1584,62359,Postal Mail,0 days 00:57:43
1585,51524,Email,0 days 23:52:00
1587,25419,Phone,0 days 06:58:30
1588,46927,Mobile App,0 days 03:00:56
1590,48089,Online Chat,0 days 10:06:27
1594,57532,Online Chat,0 days 15:59:59
1598,1039,Postal Mail,0 days 05:48:40
1599,38649,Mobile App,0 days 22:18:58
1604,45250,In-person,0 days 10:01:30
1605,6986,Online Chat,0 days 21:15:32
1607,62053,Online Chat,0 days 07:11:13
1609,12585,Postal Mail,0 days 21:33:01
1612,11703,Online Chat,0 days 13:16:27
1614,45266,Mobile App,0 days 20:23:26
1615,15233,Online Chat,0 days 01:56:56
1616,21311,Email,0 days 08:08:07
1618,12923,Postal Mail,0 days 02:22:07
1622,7429,Online Chat,0 days 16:08:52
1623,36038,Online Chat,0 days 21:43:44
1625,45419,Postal Mail,0 days 23:08:26
1629,22927,In-person,0 days 16:55:19
1631,22486,Mobile App,0 days 11:29:16
1632,29928,Phone,0 days 18:27:20
1634,14971,Mobile App,0 days 11:23:24
1641,45418,Email,0 days 21:25:22
1642,23360,Mobile App,0 days 08:32:48
1644,16092,Email,0 days 02:23:08
1650,58869,Email,0 days 22:03:49
1651,25767,Email,0 days 00:02:02
1652,42135,Mobile App,0 days 05:11:12
1656,53309,Online Chat,0 days 11:08:54
1657,14672,Online Chat,0 days 02:39:29
1660,46694,Phone,0 days 01:49:56
1661,27315,In-person,0 days 11:07:49
1662,65416,Email,0 days 22:56:18
1663,1996,Postal Mail,0 days 10:27:21
1664,65102,Online Chat,0 days 12:26:18
1666,51788,Email,0 days 02:29:19
1667,35245,Mobile App,0 days 17:17:02
1671,35044,Phone,0 days 11:34:43
1672,26659,Mobile App,0 days 07:07:01
1673,41959,Email,0 days 03:04:48
1681,49089,Phone,0 days 01:35:40
1683,25736,Email,0 days 11:03:09
1691,37824,Mobile App,0 days 13:07:37
1692,42622,In-person,0 days 21:52:55
1693,4204,In-person,0 days 00:41:17
1695,5600,Phone,0 days 22:52:53
1696,19443,Phone,0 days 23:26:49
1698,651,Phone,0 days 05:06:26
1710,45792,In-person,0 days 15:30:02
1713,15029,Email,0 days 19:18:25
1714,49707,Online Chat,0 days 09:55:42
1717,65531,Online Chat,0 days 15:36:59
1720,51788,Phone,0 days 08:09:44
1722,56356,Mobile App,0 days 20:31:08
1723,36518,Email,0 days 02:30:59
1724,13984,Mobile App,0 days 10:00:12
1731,42283,Email,0 days 09:55:01
1732,52927,Email,0 days 11:44:37
1735,52839,Email,0 days 02:34:37
1741,58932,In-person,0 days 13:33:22
1742,25403,In-person,0 days 05:12:06
1743,44212,In-person,0 days 05:23:38
1744,11188,In-person,0 days 08:39:12
1754,60020,Online Chat,0 days 22:32:26
1755,52548,Mobile App,0 days 07:11:44
1756,24836,Mobile App,0 days 21:38:40
1757,12585,Phone,0 days 04:28:29
1758,17152,Email,0 days 19:50:15
1759,24024,Email,0 days 06:43:51
1761,405,Online Chat,0 days 14:22:42
1762,65476,Phone,0 days 12:19:30
1767,19281,Email,0 days 22:45:36
1769,52553,Mobile App,0 days 14:31:45
1770,25004,Mobile App,0 days 08:11:48
1771,50746,Email,0 days 04:03:50
1781,24817,In-person,0 days 17:40:05
1787,34235,In-person,0 days 05:03:34
1788,60572,Phone,0 days 22:40:26
1790,32851,In-person,0 days 16:39:13
1794,6984,Online Chat,0 days 20:46:50
1805,27448,In-person,0 days 10:03:37
1810,11459,Mobile App,0 days 21:29:30
1815,31556,Email,0 days 21:02:19
1823,35398,In-person,0 days 09:41:57
1829,40054,Mobile App,0 days 21:09:22
1831,61223,Online Chat,0 days 05:55:40
1833,48900,Postal Mail,0 days 17:24:06
1838,59057,Email,0 days 17:25:35
1843,62548,Mobile App,0 days 11:07:52
1845,36,In-person,0 days 04:42:54
1848,46577,Phone,0 days 12:40:10
1849,40780,Online Chat,0 days 05:24:34
1851,47423,Phone,0 days 16:12:33
1852,39192,Phone,0 days 18:52:14
1862,37828,Online Chat,0 days 15:34:59
1863,8718,Phone,0 days 04:56:14
1864,30931,In-person,0 days 08:49:26
1866,34269,Online Chat,0 days 11:32:48
1869,41197,Phone,0 days 05:17:18
1870,39574,Online Chat,0 days 22:14:15
1874,52876,Postal Mail,0 days 05:35:06
1876,43121,Email,0 days 15:13:22
1878,20906,Postal Mail,0 days 12:21:39
1879,1308,Online Chat,0 days 04:54:41
1880,16494,Postal Mail,0 days 10:39:38
1882,42980,Mobile App,0 days 10:47:04
1883,4598,Email,0 days 21:34:58
1885,25114,Postal Mail,0 days 16:16:03
1886,45190,In-person,0 days 07:26:08
1887,21465,In-person,0 days 18:55:42
1888,60270,Postal Mail,0 days 09:36:43
