account_id,customer_id,account_type,balance,status_type
450,21593,Business Account,942455944.0,Defaulted
451,61827,Business Account,13035696.0,Defaulted
456,19773,Certificate of Deposit (CD),8.0,Inactive/Dormant
462,20295,Checking/Current Account,14.0,Limited/Restricted
463,8364,Checking/Current Account,20531.0,Blocked/Frozen
465,5497,Certificate of Deposit (CD),509.0,Blocked/Frozen
467,42683,Checking/Current Account,210379306.0,Active
471,55629,Trust Account,60273734.0,Limited/Restricted
484,32802,Business Account,735.0,Active
494,56275,Certificate of Deposit (CD),821009539.0,Active
497,64914,Individual Retirement Account (IRA),4684590.0,Limited/Restricted
499,44385,Business Account,138709151.0,Defaulted
507,33047,Savings Account,3190.0,Limited/Restricted
509,13091,Individual Retirement Account (IRA),5927617.0,Active
510,33017,Custodial Account,13886.0,Blocked/Frozen
514,51588,Individual Retirement Account (IRA),8.0,Closed
518,34963,Trust Account,4544569.0,Limited/Restricted
520,469,Custodial Account,8591.0,Blocked/Frozen
531,44335,Checking/Current Account,2.0,Limited/Restricted
534,12716,Individual Retirement Account (IRA),27.0,Closed
539,13411,Trust Account,20.0,Active
540,27143,Certificate of Deposit (CD),6025127.0,Defaulted
545,30948,Trust Account,37914.0,Blocked/Frozen
552,45843,Business Account,392.0,Defaulted
555,16976,Trust Account,24418.0,Blocked/Frozen
557,17729,Checking/Current Account,9786.0,Limited/Restricted
559,57355,Custodial Account,567.0,Defaulted
560,47036,Trust Account,6048775.0,Closed
565,31565,Business Account,47.0,Inactive/Dormant
567,54985,Checking/Current Account,9.0,Active
570,65507,Business Account,107760135.0,Limited/Restricted
571,6746,Individual Retirement Account (IRA),333778938.0,Inactive/Dormant
574,44803,Individual Retirement Account (IRA),454637.0,Limited/Restricted
579,42473,Checking/Current Account,24661412.0,Defaulted
582,1741,Trust Account,0.0,Closed
585,55971,Certificate of Deposit (CD),7053.0,Blocked/Frozen
593,2828,Savings Account,6646.0,Inactive/Dormant
594,4109,Savings Account,866054938.0,Inactive/Dormant
597,48728,Certificate of Deposit (CD),793802.0,Defaulted
598,27681,Savings Account,3942.0,Blocked/Frozen
600,11208,Certificate of Deposit (CD),5.0,Inactive/Dormant
603,50242,Individual Retirement Account (IRA),1991864.0,Blocked/Frozen
605,47670,Business Account,946517672.0,Active
606,38601,Certificate of Deposit (CD),72770439.0,Closed
608,22348,Certificate of Deposit (CD),241637957.0,Blocked/Frozen
609,470,Custodial Account,3.0,Active
614,20304,Trust Account,95.0,Inactive/Dormant
618,42694,Checking/Current Account,13.0,Defaulted
620,45911,Individual Retirement Account (IRA),5796881.0,Defaulted
623,27533,Custodial Account,3578504.0,Limited/Restricted
629,53671,Checking/Current Account,415.0,Active
630,2633,Business Account,8584.0,Closed
642,43185,Savings Account,94746.0,Inactive/Dormant
644,10476,Savings Account,365785.0,Defaulted
651,10717,Certificate of Deposit (CD),3373476.0,Closed
655,37970,Trust Account,0.0,Limited/Restricted
659,62287,Business Account,34763.0,Closed
661,2622,Certificate of Deposit (CD),9132220.0,Defaulted
663,10209,Checking/Current Account,82.0,Defaulted
665,7020,Checking/Current Account,470.0,Active
666,47642,Certificate of Deposit (CD),28.0,Blocked/Frozen
667,50616,Business Account,22131378.0,Inactive/Dormant
673,10360,Certificate of Deposit (CD),9883.0,Inactive/Dormant
675,34337,Custodial Account,1560.0,Limited/Restricted
682,17144,Trust Account,620.0,Active
686,17208,Trust Account,3899721.0,Defaulted
688,19806,Certificate of Deposit (CD),7.0,Limited/Restricted
699,39304,Savings Account,443.0,Active
701,42170,Certificate of Deposit (CD),288.0,Limited/Restricted
708,40343,Trust Account,73432938.0,Active
711,28843,Certificate of Deposit (CD),1539298.0,Inactive/Dormant
713,19443,Checking/Current Account,6460.0,Defaulted
714,63668,Savings Account,80686282.0,Closed
715,40569,Custodial Account,7982.0,Blocked/Frozen
718,31451,Checking/Current Account,37203.0,Inactive/Dormant
723,2888,Trust Account,742256.0,Limited/Restricted
734,52565,Certificate of Deposit (CD),221.0,Inactive/Dormant
736,62610,Individual Retirement Account (IRA),8.0,Limited/Restricted
737,49534,Checking/Current Account,770764.0,Active
738,852,Individual Retirement Account (IRA),39157941.0,Closed
742,46524,Trust Account,81282.0,Closed
754,54023,Certificate of Deposit (CD),4694198.0,Defaulted
757,7650,Trust Account,22.0,Active
760,42088,Individual Retirement Account (IRA),7607370.0,Inactive/Dormant
762,59083,Certificate of Deposit (CD),1.0,Inactive/Dormant
766,53510,Individual Retirement Account (IRA),14.0,Closed
767,9887,Business Account,84.0,Limited/Restricted
775,13426,Trust Account,669583494.0,Active
778,32969,Checking/Current Account,2659.0,Blocked/Frozen
787,17958,Business Account,8407.0,Inactive/Dormant
793,2614,Trust Account,8878.0,Inactive/Dormant
794,52864,Individual Retirement Account (IRA),671615.0,Inactive/Dormant
797,33588,Business Account,9229489.0,Defaulted
800,10518,Business Account,250696280.0,Closed
803,16379,Individual Retirement Account (IRA),89.0,Inactive/Dormant
806,43834,Checking/Current Account,743831.0,Defaulted
809,19398,Checking/Current Account,52544.0,Defaulted
814,52107,Savings Account,628.0,Limited/Restricted
816,31438,Checking/Current Account,810003038.0,Closed
817,37824,Custodial Account,379.0,Limited/Restricted
818,63430,Individual Retirement Account (IRA),94070968.0,Closed
819,62952,Checking/Current Account,108937318.0,Closed
820,11542,Individual Retirement Account (IRA),99.0,Active
824,22340,Trust Account,310.0,Inactive/Dormant
826,19359,Individual Retirement Account (IRA),286448.0,Inactive/Dormant
829,41573,Individual Retirement Account (IRA),773706807.0,Limited/Restricted
830,17267,Checking/Current Account,4642.0,Closed
831,49948,Trust Account,570555147.0,Active
837,31969,Savings Account,487.0,Defaulted
839,46560,Trust Account,9.0,Blocked/Frozen
840,9105,Checking/Current Account,7842613.0,Closed
860,33349,Trust Account,541.0,Closed
862,40613,Savings Account,8581007.0,Inactive/Dormant
864,55254,Business Account,3.0,Blocked/Frozen
870,29404,Individual Retirement Account (IRA),465.0,Active
871,53616,Business Account,629161.0,Defaulted
873,34831,Checking/Current Account,40179.0,Inactive/Dormant
874,53842,Individual Retirement Account (IRA),64181.0,Limited/Restricted
875,34124,Individual Retirement Account (IRA),72.0,Active
876,18611,Savings Account,856.0,Inactive/Dormant
877,32874,Savings Account,38308.0,Limited/Restricted
878,13445,Custodial Account,47265.0,Closed
881,49416,Savings Account,958.0,Limited/Restricted
890,17407,Checking/Current Account,68.0,Closed
898,49098,Individual Retirement Account (IRA),827850.0,Active
899,33047,Custodial Account,11326.0,Limited/Restricted
908,21937,Savings Account,2808225.0,Inactive/Dormant
913,20872,Individual Retirement Account (IRA),945472.0,Limited/Restricted
919,38967,Custodial Account,4823.0,Closed
920,31598,Individual Retirement Account (IRA),462108.0,Inactive/Dormant
924,15011,Certificate of Deposit (CD),5.0,Defaulted
925,48551,Savings Account,39001632.0,Limited/Restricted
931,391,Individual Retirement Account (IRA),7.0,Defaulted
935,4581,Individual Retirement Account (IRA),152000999.0,Limited/Restricted
944,13181,Checking/Current Account,43522.0,Inactive/Dormant
948,7386,Checking/Current Account,408215827.0,Limited/Restricted
952,11349,Trust Account,592072311.0,Inactive/Dormant
956,14612,Trust Account,39977430.0,Limited/Restricted
957,9209,Savings Account,354.0,Limited/Restricted
958,65037,Custodial Account,78963.0,Inactive/Dormant
981,61827,Checking/Current Account,52704809.0,Active
983,46516,Individual Retirement Account (IRA),8962276.0,Inactive/Dormant
989,63070,Trust Account,4.0,Blocked/Frozen
990,47228,Checking/Current Account,91.0,Blocked/Frozen
993,21740,Checking/Current Account,55161568.0,Limited/Restricted
996,27753,Certificate of Deposit (CD),86648859.0,Closed
1000,15320,Trust Account,526545485.0,Active
1011,22310,Savings Account,4060182.0,Active
1017,13566,Custodial Account,50527609.0,Defaulted
1026,44130,Custodial Account,19860.0,Blocked/Frozen
1031,38732,Individual Retirement Account (IRA),393.0,Blocked/Frozen
1034,47192,Certificate of Deposit (CD),55358125.0,Closed
1038,27039,Certificate of Deposit (CD),442.0,Defaulted
1042,28358,Individual Retirement Account (IRA),793702948.0,Inactive/Dormant
1051,50904,Custodial Account,97940.0,Active
1059,59121,Checking/Current Account,8970.0,Closed
1061,26894,Trust Account,1643589.0,Inactive/Dormant
1064,19844,Savings Account,14986.0,Blocked/Frozen
1067,7515,Checking/Current Account,115.0,Limited/Restricted
1072,19171,Savings Account,946578.0,Defaulted
1083,11345,Custodial Account,22741.0,Active
1085,17786,Trust Account,36.0,Active
1086,39622,Custodial Account,535123392.0,Inactive/Dormant
1088,55790,Custodial Account,114.0,Blocked/Frozen
1099,37405,Custodial Account,115.0,Limited/Restricted
1100,54720,Custodial Account,5.0,Limited/Restricted
1101,1707,Savings Account,37213.0,Closed
1104,30106,Custodial Account,284044405.0,Inactive/Dormant
1108,25407,Custodial Account,4425123.0,Limited/Restricted
1109,61841,Certificate of Deposit (CD),6442333.0,Inactive/Dormant
1111,25008,Business Account,287168.0,Blocked/Frozen
1113,25779,Business Account,83.0,Inactive/Dormant
1115,41536,Individual Retirement Account (IRA),830.0,Defaulted
1116,46524,Individual Retirement Account (IRA),6200382.0,Limited/Restricted
1119,39337,Checking/Current Account,7.0,Active
1120,43234,Individual Retirement Account (IRA),16.0,Active
1122,52964,Custodial Account,5773051.0,Blocked/Frozen
1123,7650,Custodial Account,915.0,Defaulted
1126,20142,Checking/Current Account,21.0,Limited/Restricted
1129,9136,Certificate of Deposit (CD),831047715.0,Active
1132,5117,Certificate of Deposit (CD),9871194.0,Blocked/Frozen
1141,34329,Certificate of Deposit (CD),72000.0,Blocked/Frozen
1148,43397,Certificate of Deposit (CD),534.0,Closed
1150,47855,Trust Account,92.0,Defaulted
1157,44449,Trust Account,9265562.0,Limited/Restricted
1159,61613,Individual Retirement Account (IRA),96094985.0,Inactive/Dormant
1160,31650,Savings Account,53.0,Inactive/Dormant
1163,20685,Business Account,440652.0,Limited/Restricted
1166,36567,Business Account,2673.0,Defaulted
1168,49580,Business Account,77658.0,Defaulted
1169,4772,Custodial Account,126894022.0,Defaulted
1178,2391,Individual Retirement Account (IRA),209031.0,Blocked/Frozen
1185,10796,Custodial Account,77149756.0,Defaulted
1188,19087,Checking/Current Account,25619.0,Active
1189,33078,Custodial Account,54.0,Blocked/Frozen
1191,27485,Business Account,5623.0,Active
1195,5698,Custodial Account,874.0,Closed
1196,28691,Business Account,0.0,Inactive/Dormant
1198,17512,Checking/Current Account,28524511.0,Limited/Restricted
1204,17247,Custodial Account,6914351.0,Defaulted
1206,57415,Business Account,957.0,Limited/Restricted
1218,24483,Checking/Current Account,954609318.0,Inactive/Dormant
1222,27588,Trust Account,50661865.0,Defaulted
1225,56726,Business Account,40.0,Closed
1227,35315,Checking/Current Account,60.0,Limited/Restricted
1228,27821,Custodial Account,4.0,Defaulted
1232,24420,Custodial Account,69846435.0,Closed
1243,47982,Checking/Current Account,36415.0,Blocked/Frozen
1244,64737,Trust Account,1797.0,Active
1247,25703,Business Account,118.0,Defaulted
1250,20514,Business Account,7390.0,Blocked/Frozen
1253,22772,Savings Account,301542.0,Blocked/Frozen
1258,628,Individual Retirement Account (IRA),38.0,Active
1259,11423,Custodial Account,8401.0,Limited/Restricted
1263,32141,Savings Account,5.0,Blocked/Frozen
1264,52679,Custodial Account,4931.0,Limited/Restricted
1265,24120,Trust Account,108.0,Defaulted
1266,50458,Business Account,99962.0,Closed
1267,63734,Individual Retirement Account (IRA),27289537.0,Limited/Restricted
1275,34797,Custodial Account,6.0,Inactive/Dormant
1276,38733,Certificate of Deposit (CD),4.0,Inactive/Dormant
1282,14749,Custodial Account,13891025.0,Inactive/Dormant
1286,2172,Savings Account,6430.0,Active
1287,32226,Custodial Account,870948.0,Closed
1289,29807,Business Account,470512753.0,Limited/Restricted
1294,1104,Certificate of Deposit (CD),189452827.0,Blocked/Frozen
1296,62558,Trust Account,571.0,Limited/Restricted
1300,58365,Business Account,6.0,Closed
1306,23300,Custodial Account,5.0,Limited/Restricted
1307,28869,Savings Account,3292503.0,Defaulted
1308,32849,Trust Account,901.0,Blocked/Frozen
1318,25631,Trust Account,856436.0,Active
1320,47641,Trust Account,68.0,Blocked/Frozen
1321,57226,Individual Retirement Account (IRA),3347.0,Blocked/Frozen
1324,22085,Trust Account,1203466.0,Defaulted
1329,35446,Certificate of Deposit (CD),1.0,Closed
1338,4411,Individual Retirement Account (IRA),44030212.0,Active
1345,19452,Savings Account,499224474.0,Active
1346,32584,Savings Account,0.0,Closed
1348,44154,Trust Account,1.0,Blocked/Frozen
1349,48555,Individual Retirement Account (IRA),39909.0,Defaulted
1353,3738,Checking/Current Account,9463335.0,Inactive/Dormant
1354,3913,Trust Account,4.0,Limited/Restricted
1356,11976,Custodial Account,6.0,Inactive/Dormant
1357,21662,Business Account,192.0,Active
1359,11994,Individual Retirement Account (IRA),3106.0,Blocked/Frozen
1362,24742,Custodial Account,527892.0,Defaulted
1365,34981,Checking/Current Account,46390.0,Defaulted
1368,34320,Savings Account,80.0,Limited/Restricted
1369,24433,Trust Account,2.0,Active
1378,64462,Trust Account,50.0,Blocked/Frozen
1379,12147,Savings Account,7536148.0,Limited/Restricted
1383,27366,Individual Retirement Account (IRA),28.0,Active
1384,65067,Trust Account,825337.0,Blocked/Frozen
1389,53288,Trust Account,671.0,Limited/Restricted
1394,37525,Checking/Current Account,9879703.0,Inactive/Dormant
1400,15641,Business Account,84747908.0,Closed
1401,44491,Individual Retirement Account (IRA),0.0,Active
1403,51157,Checking/Current Account,474938317.0,Inactive/Dormant
1405,11087,Trust Account,22.0,Defaulted
1406,9718,Custodial Account,4716695.0,Limited/Restricted
1415,41658,Custodial Account,4907301.0,Inactive/Dormant
1416,16379,Checking/Current Account,273162.0,Inactive/Dormant
1420,28806,Business Account,39732.0,Active
1422,62612,Individual Retirement Account (IRA),6033386.0,Inactive/Dormant
1423,20407,Individual Retirement Account (IRA),3583622.0,Blocked/Frozen
1424,9800,Trust Account,73064.0,Closed
1427,6252,Checking/Current Account,939982.0,Blocked/Frozen
1430,63507,Custodial Account,637360.0,Closed
1433,37824,Certificate of Deposit (CD),4.0,Inactive/Dormant
1434,27387,Savings Account,32745910.0,Closed
1442,32849,Individual Retirement Account (IRA),51876166.0,Inactive/Dormant
1444,62219,Business Account,84339.0,Defaulted
1445,1834,Custodial Account,116165.0,Closed
1447,1055,Checking/Current Account,590.0,Inactive/Dormant
1449,29668,Trust Account,56.0,Active
1450,28129,Individual Retirement Account (IRA),8.0,Limited/Restricted
1457,12563,Certificate of Deposit (CD),9258187.0,Closed
1461,20227,Business Account,8618.0,Active
1462,27743,Checking/Current Account,269.0,Defaulted
1471,57298,Savings Account,30869927.0,Inactive/Dormant
1473,57458,Trust Account,973791.0,Defaulted
1476,39023,Checking/Current Account,8.0,Defaulted
1477,65156,Savings Account,819921.0,Closed
1480,5736,Business Account,7.0,Active
1482,35962,Savings Account,1884.0,Closed
1484,58524,Certificate of Deposit (CD),28686714.0,Defaulted
1485,62726,Business Account,589.0,Closed
1487,37583,Trust Account,83908.0,Limited/Restricted
1488,7561,Individual Retirement Account (IRA),576336.0,Closed
1498,55920,Checking/Current Account,357427095.0,Limited/Restricted
1499,54973,Checking/Current Account,75586396.0,Limited/Restricted
1513,1351,Business Account,51824700.0,Inactive/Dormant
1514,45454,Trust Account,3381.0,Blocked/Frozen
1518,1386,Checking/Current Account,3.0,Limited/Restricted
1523,19442,Individual Retirement Account (IRA),46.0,Limited/Restricted
1526,35906,Savings Account,18495.0,Active
1535,18678,Custodial Account,32093.0,Closed
1536,32958,Individual Retirement Account (IRA),897959.0,Defaulted
1538,63318,Certificate of Deposit (CD),17.0,Closed
1539,1188,Individual Retirement Account (IRA),950.0,Defaulted
1541,17216,Certificate of Deposit (CD),50148.0,Limited/Restricted
1545,31587,Custodial Account,249040.0,Limited/Restricted
1550,48966,Business Account,474334786.0,Blocked/Frozen
1554,63275,Checking/Current Account,8.0,Closed
1555,18681,Business Account,148.0,Inactive/Dormant
1564,64700,Trust Account,9210893.0,Inactive/Dormant
1567,24998,Custodial Account,96850815.0,Closed
1568,7189,Individual Retirement Account (IRA),4878.0,Active
1570,44751,Individual Retirement Account (IRA),203982.0,Active
1571,36518,Business Account,6598579.0,Blocked/Frozen
1581,60379,Checking/Current Account,5179.0,Closed
1584,46549,Savings Account,524292796.0,Blocked/Frozen
1585,5492,Business Account,32.0,Limited/Restricted
1590,16900,Business Account,63.0,Defaulted
1591,1307,Checking/Current Account,9793.0,Active
1597,22885,Savings Account,942.0,Closed
1598,29444,Checking/Current Account,750995334.0,Active
1603,59817,Savings Account,7414942.0,Closed
1606,45681,Trust Account,2655047.0,Blocked/Frozen
1608,59559,Checking/Current Account,19.0,Limited/Restricted
1613,45732,Savings Account,4.0,Closed
1625,1272,Custodial Account,536632.0,Active
1629,48791,Checking/Current Account,9913.0,Inactive/Dormant
1641,32859,Certificate of Deposit (CD),703046.0,Closed
1643,18634,Individual Retirement Account (IRA),9997.0,Inactive/Dormant
1646,54980,Individual Retirement Account (IRA),0.0,Limited/Restricted
1647,64545,Individual Retirement Account (IRA),187578530.0,Active
1649,44324,Certificate of Deposit (CD),15183.0,Closed
1650,64907,Certificate of Deposit (CD),18465.0,Blocked/Frozen
1653,55891,Individual Retirement Account (IRA),4.0,Closed
1661,37298,Certificate of Deposit (CD),27249475.0,Inactive/Dormant
1672,14442,Individual Retirement Account (IRA),4.0,Active
1673,7669,Certificate of Deposit (CD),861904792.0,Active
1683,15424,Custodial Account,16802530.0,Active
1685,5826,Certificate of Deposit (CD),79.0,Blocked/Frozen
1686,52856,Business Account,37617.0,Active
1687,40573,Business Account,434489254.0,Inactive/Dormant
1691,10673,Trust Account,3265.0,Blocked/Frozen
1695,62200,Custodial Account,4196.0,Blocked/Frozen
1697,18125,Individual Retirement Account (IRA),638581.0,Blocked/Frozen
1698,12279,Savings Account,1817.0,Closed
1701,55254,Business Account,6080.0,Closed
1703,15414,Individual Retirement Account (IRA),1856050.0,Defaulted
1704,18945,Trust Account,19659281.0,Blocked/Frozen
1705,37351,Trust Account,3992.0,Blocked/Frozen
1724,744,Savings Account,2298.0,Defaulted
1727,61201,Business Account,422974939.0,Defaulted
1729,21181,Checking/Current Account,32767.0,Blocked/Frozen
1730,43689,Trust Account,271.0,Defaulted
1734,9669,Trust Account,30190758.0,Defaulted
1736,52565,Business Account,3.0,Closed
1738,29631,Certificate of Deposit (CD),902100.0,Limited/Restricted
1747,42517,Trust Account,5084342.0,Closed
1751,15094,Business Account,3426203.0,Inactive/Dormant
1752,36068,Savings Account,9.0,Closed
1754,41423,Trust Account,98094925.0,Defaulted
1757,7516,Custodial Account,9585.0,Closed
1760,37741,Custodial Account,141328394.0,Inactive/Dormant
1763,16087,Savings Account,9783403.0,Limited/Restricted
1768,59918,Certificate of Deposit (CD),7.0,Inactive/Dormant
1769,53193,Checking/Current Account,74.0,Limited/Restricted
1770,58024,Certificate of Deposit (CD),3.0,Closed
1772,3404,Business Account,41611026.0,Limited/Restricted
1779,21311,Trust Account,53.0,Blocked/Frozen
1784,16041,Savings Account,45.0,Inactive/Dormant
1787,30292,Individual Retirement Account (IRA),426291115.0,Blocked/Frozen
1788,3911,Trust Account,26039.0,Blocked/Frozen
1793,9587,Checking/Current Account,8641.0,Closed
1794,46913,Savings Account,871210044.0,Blocked/Frozen
1800,28322,Certificate of Deposit (CD),751.0,Inactive/Dormant
1801,32847,Custodial Account,0.0,Active
1804,3650,Checking/Current Account,24028602.0,Inactive/Dormant
1809,65429,Certificate of Deposit (CD),56.0,Defaulted
1818,34275,Certificate of Deposit (CD),91.0,Inactive/Dormant
1819,50981,Individual Retirement Account (IRA),2027041.0,Defaulted
1822,5146,Custodial Account,949.0,Closed
1824,2456,Checking/Current Account,32300.0,Limited/Restricted
1837,38220,Custodial Account,9927322.0,Closed
1841,26851,Checking/Current Account,24.0,Limited/Restricted
1848,27793,Certificate of Deposit (CD),286792.0,Defaulted
1849,43897,Custodial Account,13647624.0,Closed
1850,31198,Checking/Current Account,5.0,Inactive/Dormant
1855,4741,Checking/Current Account,250070.0,Inactive/Dormant
1867,6477,Business Account,525804909.0,Active
1868,44550,Individual Retirement Account (IRA),14638106.0,Blocked/Frozen
1869,46685,Trust Account,38793.0,Active
1870,47731,Savings Account,64649.0,Inactive/Dormant
1871,35178,Checking/Current Account,620777727.0,Closed
1877,42482,Business Account,23411665.0,Blocked/Frozen
1878,54904,Checking/Current Account,46.0,Inactive/Dormant
1883,59755,Trust Account,4.0,Limited/Restricted
1887,61051,Individual Retirement Account (IRA),45698656.0,Inactive/Dormant
1889,8529,Checking/Current Account,151293966.0,Blocked/Frozen
1892,34217,Individual Retirement Account (IRA),1914.0,Closed
1893,51062,Certificate of Deposit (CD),228580125.0,Limited/Restricted
1895,45967,Certificate of Deposit (CD),5409.0,Limited/Restricted
1903,14749,Individual Retirement Account (IRA),7180.0,Blocked/Frozen
1910,55739,Trust Account,96.0,Active
1916,64833,Individual Retirement Account (IRA),49151.0,Limited/Restricted
1920,12678,Trust Account,821315439.0,Limited/Restricted
1921,38672,Savings Account,185230.0,Active
1925,11074,Business Account,47.0,Active
1929,675,Trust Account,304070.0,Blocked/Frozen
1930,52434,Individual Retirement Account (IRA),8647.0,Limited/Restricted
1931,63304,Individual Retirement Account (IRA),33807.0,Active
1946,29539,Custodial Account,13370895.0,Active
1950,49944,Certificate of Deposit (CD),218962.0,Defaulted
1952,5649,Custodial Account,9205823.0,Defaulted
1960,15888,Checking/Current Account,911020352.0,Inactive/Dormant
1965,47012,Savings Account,62177082.0,Inactive/Dormant
