credit_id,customer_id,credit_score,credit_limit
680,10950,670 - 739,79451629.0
682,53151,670 - 739,228.0
687,64411,800 - 850,55.0
694,65409,300 - 579,9065655.0
698,9882,300 - 579,689711.0
700,22505,300 - 579,94622050.0
701,7886,800 - 850,96.0
703,35857,300 - 579,5340987.0
709,55235,300 - 579,710894.0
712,40088,740 - 799,473993374.0
713,62164,300 - 579,169.0
715,12716,580 - 669,5734.0
719,58431,800 - 850,390731.0
720,63815,740 - 799,131.0
721,32079,740 - 799,26838.0
728,40370,670 - 739,69968.0
730,27836,670 - 739,552628.0
744,24218,580 - 669,32523705.0
749,20103,670 - 739,345144.0
750,41021,300 - 579,843.0
751,22755,670 - 739,9608240.0
752,63236,300 - 579,2815.0
766,9616,580 - 669,10859.0
769,20062,800 - 850,2.0
771,4257,800 - 850,14158.0
772,53557,800 - 850,65.0
778,41335,300 - 579,2.0
779,55813,670 - 739,465113.0
780,20797,670 - 739,17683677.0
783,34590,800 - 850,15509.0
796,9559,300 - 579,4.0
798,7412,740 - 799,1958559.0
799,675,670 - 739,369281.0
801,46811,800 - 850,3741036.0
805,45821,580 - 669,60.0
808,15778,670 - 739,38220160.0
809,19847,580 - 669,756.0
810,14870,740 - 799,38700.0
819,50893,800 - 850,8679.0
820,27964,800 - 850,43517.0
823,59574,800 - 850,7512.0
827,63620,740 - 799,8.0
829,45082,580 - 669,9654.0
832,128,800 - 850,173679700.0
834,8530,580 - 669,617.0
835,21685,800 - 850,308380468.0
837,38851,740 - 799,6.0
840,31641,740 - 799,72073.0
847,15869,800 - 850,2406761.0
857,41236,740 - 799,76490.0
862,22069,670 - 739,9412676.0
864,33804,800 - 850,17153.0
868,39078,580 - 669,17682.0
876,64125,300 - 579,0.0
877,30332,740 - 799,4.0
886,28980,800 - 850,5337.0
887,14201,580 - 669,278.0
888,7513,740 - 799,846041182.0
892,6352,300 - 579,73561135.0
893,3865,670 - 739,71402.0
901,36831,740 - 799,939639726.0
902,54007,800 - 850,855319.0
903,31984,300 - 579,0.0
906,63527,580 - 669,40892722.0
908,20728,670 - 739,32920.0
909,19413,300 - 579,3736160.0
910,13477,580 - 669,24023544.0
917,37858,300 - 579,5992312.0
918,34590,670 - 739,8726701.0
922,61723,740 - 799,1795.0
926,19189,740 - 799,640192599.0
928,25352,300 - 579,12351.0
930,13855,580 - 669,34.0
931,1157,740 - 799,6665771.0
934,7883,740 - 799,9.0
941,16831,300 - 579,6486.0
945,46189,580 - 669,233526878.0
948,55915,740 - 799,1845.0
951,48698,740 - 799,335.0
955,18204,740 - 799,424661.0
959,52526,800 - 850,19641446.0
960,64746,670 - 739,787.0
963,58388,580 - 669,976989732.0
964,44820,580 - 669,7.0
966,26947,800 - 850,781.0
969,61728,740 - 799,36370.0
973,36216,580 - 669,528208948.0
978,35329,300 - 579,6.0
982,23544,800 - 850,91702334.0
992,50151,670 - 739,49214.0
993,31406,740 - 799,927382176.0
1004,47670,300 - 579,2245.0
1005,20149,670 - 739,12460.0
1021,40732,800 - 850,9.0
1022,55366,740 - 799,110.0
1030,46056,800 - 850,16313882.0
1041,59807,740 - 799,7091.0
1042,27616,300 - 579,185.0
1043,13870,670 - 739,416598.0
1046,8056,670 - 739,7395452.0
1052,48530,580 - 669,19439.0
1065,28429,740 - 799,128.0
1067,33969,580 - 669,396306.0
1068,42222,300 - 579,13672.0
1069,47012,300 - 579,49.0
1072,52875,300 - 579,75393.0
1073,34962,800 - 850,296661870.0
1076,63008,740 - 799,1272373.0
1079,16866,670 - 739,21.0
1083,63435,800 - 850,943.0
1097,5037,580 - 669,202672.0
1098,40400,800 - 850,75927.0
1103,13073,800 - 850,32963862.0
1104,57235,800 - 850,67953543.0
1107,13582,580 - 669,694.0
1111,54338,740 - 799,84397.0
1112,21704,670 - 739,913835660.0
1114,28196,580 - 669,770794537.0
1120,44909,740 - 799,25765526.0
1121,63897,740 - 799,650755925.0
1129,28464,740 - 799,43769108.0
1135,41132,300 - 579,1.0
1137,28362,300 - 579,8.0
1146,43919,740 - 799,47422.0
1153,13181,300 - 579,161.0
1158,25003,580 - 669,119868.0
1165,33219,740 - 799,201075773.0
1173,31886,670 - 739,2.0
1175,10091,300 - 579,92566.0
1177,61520,300 - 579,358811732.0
1182,22254,670 - 739,13286.0
1187,21972,300 - 579,18.0
1201,9383,670 - 739,451614638.0
1209,23545,800 - 850,106090813.0
1210,59006,670 - 739,19.0
1214,16728,740 - 799,16725693.0
1217,63577,670 - 739,558.0
1218,32083,740 - 799,53781531.0
1224,50491,580 - 669,1163.0
1225,33409,580 - 669,4.0
1228,2794,740 - 799,49569.0
1229,8529,800 - 850,72.0
1231,28103,800 - 850,60.0
1233,4651,300 - 579,627594.0
1238,41890,740 - 799,510962.0
1241,13628,300 - 579,775.0
1248,9640,800 - 850,52510.0
1249,42683,800 - 850,18.0
1252,4639,800 - 850,0.0
1253,17617,740 - 799,20863.0
1256,60222,670 - 739,69.0
1260,14865,300 - 579,4500.0
1264,38562,740 - 799,8358719.0
1269,43613,670 - 739,829301.0
1274,65409,670 - 739,74110722.0
1277,10454,740 - 799,803632.0
1279,19944,670 - 739,988421.0
1282,47800,670 - 739,27315.0
1285,26917,580 - 669,2.0
1286,26858,300 - 579,52093869.0
1292,57848,670 - 739,1830.0
1295,63740,670 - 739,24569.0
1297,22115,300 - 579,9091.0
1305,22755,580 - 669,278.0
1317,19799,740 - 799,4.0
1320,4435,800 - 850,2702.0
1321,3240,800 - 850,75355444.0
1324,14117,300 - 579,723020.0
1325,11595,300 - 579,1837.0
1330,13031,800 - 850,574.0
1332,47116,800 - 850,777.0
1333,28267,580 - 669,27778959.0
1340,15714,670 - 739,26.0
1346,20965,740 - 799,532813509.0
1347,13200,800 - 850,3.0
1348,21920,800 - 850,4.0
1349,896,670 - 739,799547618.0
1351,51157,740 - 799,8663189.0
1355,41499,580 - 669,6074756.0
1356,28506,300 - 579,7515728.0
1361,46661,740 - 799,627.0
1362,42473,580 - 669,1758.0
1371,32494,670 - 739,6.0
1386,24557,740 - 799,2187.0
1387,64992,670 - 739,45227553.0
1392,53961,800 - 850,806.0
1395,12879,300 - 579,431600390.0
1397,40172,740 - 799,71.0
1398,37945,300 - 579,3658.0
1399,57680,580 - 669,6278167.0
1403,59485,300 - 579,1764108.0
1407,46553,670 - 739,404127.0
1416,41917,670 - 739,193467.0
1418,64405,670 - 739,1.0
1429,10173,800 - 850,2729.0
1430,32550,740 - 799,0.0
1445,34216,300 - 579,959.0
1448,25419,300 - 579,95376.0
1453,4390,800 - 850,15096.0
1454,22233,670 - 739,6.0
1462,33322,580 - 669,4254784.0
1464,13832,580 - 669,7138.0
1471,386,740 - 799,89552595.0
1472,4829,670 - 739,90336.0
1478,11111,300 - 579,4041649.0
1483,5080,300 - 579,547498760.0
1493,52397,740 - 799,92.0
1497,51301,580 - 669,5408.0
1508,56259,580 - 669,953486419.0
1512,53197,740 - 799,656.0
1513,26374,580 - 669,106.0
1516,1362,300 - 579,9156.0
1518,47214,800 - 850,62502.0
1521,43443,300 - 579,132307.0
1522,55225,580 - 669,108114502.0
1527,23675,300 - 579,729750.0
1529,38133,670 - 739,765.0
1537,11327,300 - 579,68231.0
1540,16107,300 - 579,219.0
1543,31553,300 - 579,50929.0
1549,43384,300 - 579,0.0
1550,51514,740 - 799,22.0
1551,31631,670 - 739,4875.0
1566,36740,300 - 579,65.0
1579,44819,300 - 579,103678.0
1581,55805,740 - 799,4149501.0
1587,23140,580 - 669,967311.0
1592,26103,300 - 579,8.0
1599,860,800 - 850,588823.0
1602,24398,670 - 739,685964.0
1603,17753,800 - 850,370.0
1605,49844,670 - 739,323.0
1608,9897,300 - 579,3124.0
1611,21489,740 - 799,47.0
1612,38940,740 - 799,35.0
1615,33091,300 - 579,32998497.0
1618,53510,740 - 799,2331.0
1625,5971,670 - 739,90007.0
1626,31818,740 - 799,733502.0
1630,52565,800 - 850,518454.0
1637,35264,800 - 850,93506.0
1638,13288,800 - 850,6.0
1642,35338,300 - 579,3.0
1646,65427,670 - 739,330952.0
1647,4772,580 - 669,114966.0
1649,38617,800 - 850,0.0
1651,11041,800 - 850,55785420.0
1653,1766,740 - 799,8.0
1654,37257,300 - 579,81.0
1658,14071,580 - 669,42679.0
1662,5930,740 - 799,0.0
1665,58997,580 - 669,4768.0
1668,27914,670 - 739,0.0
1673,65290,300 - 579,9191577.0
1678,55711,300 - 579,22264697.0
1682,65020,800 - 850,3066470.0
1686,11379,800 - 850,8602.0
1692,10449,740 - 799,70528.0
1695,28440,300 - 579,9812730.0
1697,64337,800 - 850,976856020.0
1707,61010,670 - 739,55630556.0
1708,28432,300 - 579,55686328.0
1709,38532,670 - 739,33312.0
1715,19462,800 - 850,9675137.0
1716,54921,670 - 739,783.0
1721,44312,300 - 579,7743.0
1723,9887,580 - 669,10981.0
1731,31864,580 - 669,89689.0
1733,16775,580 - 669,4447066.0
1741,30274,800 - 850,394.0
1747,8232,580 - 669,726.0
1753,14081,740 - 799,8.0
1754,55105,670 - 739,2.0
1757,13558,300 - 579,6290.0
1766,18667,580 - 669,33141.0
1767,36052,580 - 669,32.0
1769,48622,580 - 669,35286.0
1775,33580,580 - 669,5760.0
1781,21740,800 - 850,1.0
1786,35885,580 - 669,12502.0
1791,47770,740 - 799,3123.0
1795,25211,300 - 579,4398.0
1796,11042,300 - 579,16.0
1803,14587,740 - 799,20034.0
1806,55713,740 - 799,9.0
1807,58480,300 - 579,8.0
1809,41133,740 - 799,892.0
1817,9210,580 - 669,8318.0
1818,53027,800 - 850,46864240.0
1822,54217,300 - 579,307.0
1830,48276,740 - 799,585.0
1834,24200,300 - 579,9340.0
1838,50896,740 - 799,149.0
1847,25667,670 - 739,861449422.0
1850,31907,300 - 579,3030.0
1853,44884,670 - 739,697593749.0
1861,20121,740 - 799,9.0
1862,18545,800 - 850,329410.0
1867,16353,300 - 579,8598.0
1870,27485,740 - 799,92757280.0
1871,8056,670 - 739,950304.0
1874,38957,580 - 669,703218.0
1876,58464,670 - 739,18305628.0
1879,29549,670 - 739,76.0
1890,28391,800 - 850,66693696.0
1892,53671,300 - 579,24770326.0
1894,27359,580 - 669,242186.0
1897,27432,740 - 799,87992629.0
1902,9383,300 - 579,41377095.0
1904,63763,580 - 669,4878782.0
1907,26157,670 - 739,77.0
1908,46770,740 - 799,2916.0
1909,9400,580 - 669,8.0
1925,37937,670 - 739,0.0
1938,48199,740 - 799,5945619.0
1950,40792,300 - 579,41.0
1958,19478,670 - 739,53.0
1960,6724,300 - 579,4834.0
1961,26203,580 - 669,9.0
1962,35562,580 - 669,1903.0
1963,17980,300 - 579,1887128.0
1972,59897,800 - 850,5859658.0
1974,1362,300 - 579,1071.0
1977,36240,670 - 739,964.0
1978,9881,800 - 850,6.0
1982,62612,800 - 850,4766.0
1992,57938,300 - 579,28444.0
1996,36255,580 - 669,935.0
1998,54055,670 - 739,21.0
2007,61294,800 - 850,53370518.0
2019,42755,670 - 739,7053538.0
2024,18391,300 - 579,177083061.0
2029,47864,300 - 579,8470431.0
2030,32391,800 - 850,7.0
2033,40856,800 - 850,978.0
2034,6007,800 - 850,18.0
2036,58166,670 - 739,39928.0
2042,14491,670 - 739,53371.0
2044,53352,740 - 799,122.0
2046,35425,670 - 739,703620.0
2055,57911,670 - 739,9185006.0
2056,15926,670 - 739,663.0
2057,60983,670 - 739,788021.0
2061,61611,740 - 799,635441.0
2066,44611,580 - 669,56062.0
2072,9876,800 - 850,387137.0
2077,32078,670 - 739,556205.0
2078,11423,800 - 850,175023298.0
2085,54306,740 - 799,437.0
2094,26877,300 - 579,616092189.0
2095,22035,300 - 579,6084711.0
2097,1362,740 - 799,4.0
2099,35562,580 - 669,2.0
2100,8596,800 - 850,1.0
2104,18864,740 - 799,33362.0
2107,37945,580 - 669,20.0
2115,41555,670 - 739,78714338.0
2118,7675,740 - 799,866073.0
2119,32073,800 - 850,860041021.0
2121,40964,300 - 579,791970.0
2136,60395,300 - 579,3561.0
2140,6282,300 - 579,786679.0
2144,62190,580 - 669,768.0
2148,37155,670 - 739,777114.0
2150,32605,740 - 799,56392747.0
2155,22540,580 - 669,74.0
2167,18113,580 - 669,13.0
2171,51379,580 - 669,52257402.0
2172,35413,670 - 739,57296.0
2175,22610,580 - 669,1082.0
2179,24941,670 - 739,85757479.0
2189,57819,800 - 850,28839.0
2191,32605,740 - 799,6429109.0
2192,48088,300 - 579,8.0
2196,33743,670 - 739,305046.0
2198,12305,740 - 799,96.0
2200,27938,300 - 579,42426865.0
2208,44780,670 - 739,4213.0
2210,4684,300 - 579,5848.0
2212,23125,740 - 799,5764460.0
2224,8572,670 - 739,436431.0
2227,1770,800 - 850,0.0
2229,29766,800 - 850,43.0
2230,36615,740 - 799,335.0
2237,35434,740 - 799,3.0
2238,41189,670 - 739,90176.0
2240,14483,740 - 799,48496473.0
2243,43092,580 - 669,868862046.0
2244,31439,670 - 739,2.0
2245,1263,740 - 799,9814.0
2247,17786,670 - 739,13430460.0
2249,28063,670 - 739,9.0
2251,37583,300 - 579,524533979.0
2252,38752,800 - 850,5.0
2253,3617,740 - 799,2.0
2256,32754,580 - 669,6.0
2257,35616,300 - 579,6180975.0
2260,15753,580 - 669,8247434.0
2264,10526,300 - 579,4346.0
2266,46126,300 - 579,5.0
2267,28703,300 - 579,303247.0
2269,37189,800 - 850,463620312.0
2271,37466,580 - 669,42719.0
2275,39490,740 - 799,491174.0
2277,28440,670 - 739,2362330.0
2278,56288,580 - 669,97453.0
2281,5126,670 - 739,712158.0
2297,45760,670 - 739,65817.0
2299,50952,580 - 669,381.0
2300,5091,580 - 669,6.0
2314,9739,740 - 799,9.0
2320,34850,800 - 850,67.0
2322,44790,670 - 739,491975702.0
2323,35604,580 - 669,6580613.0
2328,29649,670 - 739,239956.0
2331,29075,580 - 669,2513566.0
2342,31344,670 - 739,9910.0
2343,17733,580 - 669,646.0
2344,51316,740 - 799,4715325.0
2348,29251,800 - 850,4081706.0
2350,45729,300 - 579,112.0
2351,13797,300 - 579,19260445.0
2354,51334,670 - 739,8.0
2355,11841,800 - 850,224282181.0
2359,38012,670 - 739,62048.0
2360,12022,300 - 579,34102.0
2366,47339,800 - 850,4.0
2368,10476,300 - 579,242915.0
2369,45481,300 - 579,30549.0
2371,58698,740 - 799,406675840.0
2377,54472,670 - 739,386352413.0
2378,28429,800 - 850,4837151.0
2380,8036,800 - 850,696936.0
2381,1076,740 - 799,195772300.0
2386,36216,740 - 799,66412362.0
2389,2205,580 - 669,2061.0
2391,58165,800 - 850,7979112.0
2394,14838,580 - 669,57717223.0
2396,60872,800 - 850,6872767.0
2399,39705,800 - 850,811323428.0
2403,10834,800 - 850,51210.0
2420,29072,740 - 799,7.0
2421,30102,300 - 579,9481460.0
2430,20575,800 - 850,5137.0
2431,47036,670 - 739,472823.0
2432,19798,670 - 739,6825.0
2436,17165,740 - 799,5966907.0
2442,5288,800 - 850,15764838.0
2445,30438,800 - 850,5244.0
2446,56,740 - 799,35.0
2458,22910,300 - 579,2109.0
2459,57150,580 - 669,626.0
2463,34045,740 - 799,8258.0
2470,46872,800 - 850,228870421.0
2477,38672,800 - 850,1097013.0
2499,65309,740 - 799,655.0
2503,8903,800 - 850,5598.0
2504,22970,300 - 579,3806300.0
2505,58176,300 - 579,65.0
2506,50741,300 - 579,7.0
2507,24115,300 - 579,336928.0
2510,50886,740 - 799,123009523.0
2513,16706,670 - 739,519717.0
2515,13084,580 - 669,601999.0
2516,33948,740 - 799,5980.0
2519,13161,800 - 850,767.0
2525,989,670 - 739,9.0
2532,12958,580 - 669,6.0
2536,1483,740 - 799,74257600.0
2541,47268,740 - 799,31618.0
2542,29739,300 - 579,50272740.0
2544,54344,580 - 669,7038059.0
2547,35069,670 - 739,80191.0
2556,3402,740 - 799,7.0
2561,31885,300 - 579,0.0
2562,46136,800 - 850,376.0
2566,7187,800 - 850,28098.0
2567,57226,740 - 799,67346.0
2568,63185,300 - 579,63711858.0
2571,53656,580 - 669,220101.0
2573,14104,300 - 579,42.0
2583,36175,580 - 669,25923359.0
2586,23146,740 - 799,59892.0
2587,40099,740 - 799,3237.0
2591,27482,740 - 799,2888.0
2608,7359,800 - 850,286033839.0
2609,11672,800 - 850,112147068.0
2610,13839,670 - 739,5.0
2619,11589,300 - 579,392022395.0
2620,15348,300 - 579,6306585.0
2621,34480,300 - 579,3.0
2626,30474,800 - 850,3708.0
2629,25576,670 - 739,540.0
2632,2444,580 - 669,46.0
2640,19334,670 - 739,66505.0
2643,35262,670 - 739,4961910.0
2649,55680,740 - 799,6172345.0
2653,15414,800 - 850,48.0
2662,42649,580 - 669,30140110.0
2663,47542,800 - 850,995085.0
2668,14344,670 - 739,66786189.0
2672,53463,580 - 669,785120.0
2674,21046,670 - 739,3237.0
2682,32045,300 - 579,487.0
2688,44491,670 - 739,8.0
2692,4104,740 - 799,88607.0
2697,29631,580 - 669,573654.0
2698,56588,580 - 669,26525.0
2702,55645,800 - 850,8206.0
2703,9375,800 - 850,10575071.0
2717,54412,300 - 579,826.0
2719,55464,800 - 850,530708.0
2724,30692,580 - 669,1373729.0
2726,14818,670 - 739,823269.0
2728,3675,800 - 850,63597047.0
2729,16141,300 - 579,5742181.0
2734,21426,740 - 799,71269765.0
2736,34314,670 - 739,1626.0
2737,51191,740 - 799,36316.0
2767,25702,300 - 579,496780.0
2771,47734,740 - 799,7980533.0
2787,54497,740 - 799,0.0
2797,7848,800 - 850,895.0
2802,50343,300 - 579,4845363.0
2805,22764,740 - 799,52.0
2808,52564,580 - 669,273.0
2809,27753,670 - 739,37587402.0
2811,27988,300 - 579,9428.0
2813,36525,800 - 850,846372.0
2816,8471,740 - 799,31545.0
2817,24582,800 - 850,630870.0
2819,19304,800 - 850,554151.0
2820,55920,800 - 850,666.0
2856,27173,670 - 739,30987650.0
2857,64145,670 - 739,84535255.0
2861,26302,800 - 850,6608.0
2865,6365,740 - 799,27118757.0
2868,31410,300 - 579,1074.0
2869,61242,580 - 669,6.0
2872,25496,670 - 739,500399848.0
2878,45719,670 - 739,354.0
2879,10093,800 - 850,5954.0
2882,12384,740 - 799,255.0
2884,15279,670 - 739,59.0
2893,26316,670 - 739,182.0
2898,31273,580 - 669,58297513.0
2899,32045,580 - 669,7496136.0
2901,31798,580 - 669,11191012.0
2903,33804,740 - 799,4.0
2909,4826,300 - 579,102637443.0
2913,4206,740 - 799,1.0
2916,13855,300 - 579,38210238.0
2921,38227,670 - 739,191375232.0
2923,32486,300 - 579,2849161.0
2944,36248,800 - 850,9287.0
2949,36416,670 - 739,282407.0
2952,49669,740 - 799,3964.0
2953,62298,300 - 579,74.0
2955,64122,740 - 799,9.0
2958,53151,580 - 669,53.0
2959,27679,670 - 739,3.0
2966,13680,740 - 799,770711243.0
2980,6252,300 - 579,91308838.0
2981,60944,580 - 669,80294131.0
2990,36026,580 - 669,678102.0
2993,55308,670 - 739,162370461.0
3008,48622,740 - 799,1844921.0
3010,47178,740 - 799,290830742.0
3012,41572,670 - 739,45192457.0
3020,33756,740 - 799,903394792.0
3021,61503,580 - 669,738.0
3029,24983,670 - 739,3131974.0
3037,11540,800 - 850,8.0
3042,64404,740 - 799,4785.0
3047,9951,740 - 799,1275.0
3049,63080,300 - 579,57666265.0
3050,58442,800 - 850,117.0
3055,56653,740 - 799,757933.0
3059,39272,300 - 579,71.0
3066,61916,670 - 739,7350658.0
3067,45774,670 - 739,2.0
3072,33327,300 - 579,748307.0
3075,23981,580 - 669,6044.0
3078,45153,800 - 850,376939.0
3081,56368,800 - 850,504463042.0
3083,58179,670 - 739,597962157.0
3084,979,740 - 799,78188343.0
3086,26851,670 - 739,210370145.0
3087,17151,800 - 850,6515099.0
3088,7183,300 - 579,67088833.0
3089,33230,740 - 799,706589030.0
3096,40572,800 - 850,7092.0
3105,7341,300 - 579,8440305.0
3109,4257,670 - 739,7713549.0
3110,63740,300 - 579,1979356.0
3112,28657,670 - 739,3020669.0
3113,18247,580 - 669,3374093.0
3114,27616,800 - 850,463879.0
3123,10609,740 - 799,20241.0
3127,29854,740 - 799,836984806.0
3133,28636,800 - 850,316492.0
3137,23422,300 - 579,6.0
3138,9456,670 - 739,14718278.0
3139,2886,580 - 669,111.0
3140,14718,300 - 579,63047547.0
3141,58001,800 - 850,529537079.0
3145,10060,800 - 850,53824.0
3151,21738,580 - 669,62870970.0
3152,55287,670 - 739,351.0
3153,41499,300 - 579,876665.0
3156,18040,300 - 579,680503200.0
3165,21926,670 - 739,6727.0
3174,40790,740 - 799,85573025.0
3178,50091,300 - 579,23605242.0
3179,60731,740 - 799,1280.0
3180,46682,300 - 579,28.0
3183,11540,300 - 579,7839.0
3196,2041,670 - 739,6190.0
3202,9106,580 - 669,76.0
3207,1820,800 - 850,154226.0
3210,32301,300 - 579,1498289.0
3216,33970,800 - 850,6.0
3230,470,300 - 579,94755.0
3233,27952,670 - 739,1.0
3236,16007,580 - 669,357677066.0
3247,13131,740 - 799,541340484.0
3248,14870,800 - 850,3534820.0
3250,41774,800 - 850,7154552.0
3252,15000,300 - 579,338655985.0
3254,47734,580 - 669,158153.0
3256,14870,300 - 579,90829325.0
3260,62552,300 - 579,4268905.0
3261,46785,740 - 799,7279321.0
3263,53284,580 - 669,90.0
3269,31458,580 - 669,81080.0
3280,62426,740 - 799,33808.0
3282,15099,300 - 579,4333488.0
3283,61761,300 - 579,662.0
3284,7926,580 - 669,797.0
3294,36936,800 - 850,741992.0
3301,13043,580 - 669,551.0
3302,48571,300 - 579,567.0
3304,18604,800 - 850,443.0
3306,40099,670 - 739,873.0
3308,23467,740 - 799,28661492.0
3310,1936,740 - 799,13438.0
3311,45701,740 - 799,21755643.0
3316,33724,740 - 799,421934826.0
3327,49340,800 - 850,58250.0
3328,852,740 - 799,1771.0
3334,33628,740 - 799,70038758.0
3337,17362,580 - 669,907.0
3338,32451,580 - 669,23509.0
3342,48390,580 - 669,468906.0
3343,6661,580 - 669,49.0
3344,53097,740 - 799,1084.0
3348,57848,580 - 669,31.0
3349,29251,300 - 579,3.0
3351,8749,670 - 739,6041924.0
3352,33501,670 - 739,32928318.0
3353,11672,300 - 579,981.0
3354,109,800 - 850,14938833.0
