transaction_id,account_id,transaction_type,amount,transaction_date
529,31499,Investment,9859995.0,1974-04-05
547,43647,Subscription,21945.0,1973-08-28
549,23178,Financial,9540.0,1975-12-28
554,36754,Subscription,7606.0,1982-05-19
559,37102,Subscription,1605266.0,2017-11-24
566,52254,Financial,676.0,1996-12-23
569,1893,Online,7043.0,1972-09-27
570,594,Wire,650.0,2013-12-02
573,48559,Financial,491.0,2014-06-26
576,14027,Purchase,279.0,2021-08-21
577,65035,Online,664388033.0,1973-02-28
581,4978,Subscription,62133.0,1990-12-05
589,15084,Payment ,795120064.0,2005-12-08
590,63659,Subscription,422.0,2022-01-03
592,3022,Financial,9.0,2007-09-21
593,45305,Online,72.0,2011-10-27
597,8926,Purchase,202231.0,1999-09-18
601,13215,Payment ,8848.0,2004-12-26
630,47952,Purchase,47.0,2003-01-31
631,49894,Payment ,42.0,2017-04-20
633,65308,Wire,25987923.0,2000-06-11
640,20662,Investment,101.0,2008-11-12
641,37427,Purchase,866.0,2019-08-01
651,20676,Purchase,597.0,1978-11-22
663,32938,Wire,920013.0,1998-02-07
665,34667,Purchase,626.0,2004-10-08
667,58146,Credit,4133.0,1991-02-15
681,9642,Payment ,42.0,2016-03-28
708,10423,Wire,7870328.0,2011-11-26
712,61398,Payment ,2820393.0,1974-10-02
726,24693,Purchase,80269954.0,1994-01-13
732,42541,Investment,543.0,2003-07-03
741,60022,Credit,86.0,1979-08-23
745,36254,Credit,83187.0,2014-12-05
762,46017,Investment,37437479.0,1997-01-19
763,2819,Subscription,465591020.0,1973-11-16
773,18997,Online,5474823.0,2005-03-20
805,24144,Credit,5.0,2008-09-09
812,13129,Investment,98.0,1983-08-30
818,5189,Payment ,4828114.0,1988-01-23
820,51575,Payment ,985166.0,2009-08-10
832,63635,Subscription,358.0,1975-02-08
836,23739,Investment,6.0,2006-07-01
854,4261,Payment ,592067.0,2015-03-15
889,41705,Credit,711341.0,1975-07-25
892,31343,Online,41211.0,1979-03-23
896,2148,Online,4.0,1991-07-09
903,20123,Purchase,511642037.0,1985-07-13
906,57469,Wire,91054248.0,2020-03-11
907,35752,Credit,114.0,1976-12-28
911,52452,Payment ,4521353.0,2018-11-03
912,26414,Payment ,3830513.0,1977-03-01
916,594,Financial,1849573.0,1970-10-04
921,20494,Payment ,43293.0,2010-12-04
940,55172,Financial,850.0,1978-09-20
943,54799,Payment ,76337313.0,1999-01-31
944,38600,Credit,2868.0,1995-01-01
945,17706,Online,375.0,1974-02-22
950,22329,Online,46506616.0,2007-05-21
958,58650,Online,40686.0,2011-05-21
962,58573,Online,80467479.0,1975-11-15
976,42619,Investment,47637.0,2023-09-13
982,41979,Wire,204569.0,2011-08-21
990,38119,Payment ,5344670.0,2006-12-07
993,21231,Investment,34288078.0,2020-11-19
996,29739,Subscription,6558130.0,2019-11-07
997,33678,Investment,7612.0,2011-07-28
999,49789,Online,92693.0,2017-04-25
1005,28324,Wire,518744.0,1999-02-13
1011,8650,Financial,620616.0,2018-10-22
1016,54899,Payment ,3853207.0,1994-06-10
1025,60408,Purchase,1892397.0,1994-03-23
1028,27387,Subscription,82160087.0,1992-02-16
1040,45824,Investment,35.0,1980-05-28
1059,61109,Investment,3224268.0,2011-10-15
1063,18695,Payment ,3.0,2008-04-11
1064,14769,Investment,73.0,1992-10-18
1066,20912,Online,572360.0,2020-11-17
1072,56447,Credit,776899826.0,2007-03-27
1089,61719,Payment ,88.0,1997-03-07
1090,53443,Payment ,836047.0,1973-10-18
1097,10030,Online,47407414.0,1984-04-28
1109,28241,Investment,33.0,1980-10-22
1118,28332,Financial,67.0,2005-08-05
1122,59525,Investment,674052.0,2006-10-05
1132,43542,Subscription,439.0,1989-08-27
1135,19555,Purchase,74685.0,2019-07-07
1136,53716,Financial,60025993.0,1976-02-03
1138,16998,Online,168.0,1983-11-03
1150,32118,Financial,2124629.0,1993-03-16
1152,61796,Payment ,571.0,2019-11-10
1158,1324,Financial,14885658.0,2010-11-23
1174,30713,Credit,65187820.0,2011-01-08
1177,22437,Investment,55078320.0,1991-07-24
1183,408,Payment ,601.0,1979-05-12
1185,37823,Credit,30472812.0,1970-08-27
1188,19401,Investment,3.0,1978-05-04
1195,16720,Subscription,983.0,1989-08-08
1202,124,Online,9068168.0,1974-03-26
1203,40495,Investment,8261.0,2010-02-24
1211,14564,Payment ,76516.0,1974-11-19
1228,5144,Payment ,739.0,2006-03-09
1230,41928,Payment ,58803535.0,1978-05-08
1231,3757,Financial,58140.0,2015-06-25
1235,34715,Financial,3217.0,1991-07-25
1243,22818,Wire,7209.0,2014-03-31
1249,40334,Payment ,45.0,2000-06-23
1252,34886,Financial,101931.0,1984-10-28
1256,34089,Financial,232.0,1999-07-22
1280,11985,Payment ,655.0,1983-10-09
1281,33077,Purchase,79.0,1970-06-29
1291,57533,Investment,790315.0,1984-01-28
1303,32897,Subscription,9.0,1981-05-15
1309,21595,Investment,2027869.0,1995-07-20
1313,7398,Online,50489795.0,2013-07-28
1323,49862,Purchase,34645.0,1988-11-18
1334,42824,Credit,2.0,2022-04-15
1344,56464,Wire,41449.0,1989-02-03
1350,5756,Purchase,41159.0,1992-08-02
1351,9682,Subscription,91603.0,2003-10-25
1352,45681,Subscription,168.0,2020-10-05
1355,34733,Payment ,1984501.0,2009-07-17
1360,23072,Online,97.0,1974-09-22
1368,15030,Financial,7678.0,2021-10-07
1382,8740,Credit,1804.0,1995-05-29
1392,34256,Payment ,7.0,1982-12-03
1396,50154,Wire,9898766.0,1983-08-02
1398,35832,Online,12427623.0,2011-01-07
1400,24538,Payment ,3796034.0,1987-12-25
1401,19231,Credit,1589190.0,2002-05-26
1408,50315,Subscription,559.0,2013-03-08
1413,10376,Credit,4084.0,2022-08-27
1414,54149,Financial,2180.0,1999-05-19
1421,27074,Subscription,325563.0,2017-01-31
1429,9260,Investment,0.0,2008-02-27
1434,59513,Investment,8.0,1987-11-04
1441,28483,Subscription,66.0,2018-10-26
1444,10795,Subscription,292650.0,1979-12-27
1449,39109,Subscription,640200.0,1976-08-27
1454,26638,Purchase,988450.0,2018-05-19
1458,45660,Subscription,87.0,2022-11-14
1466,47665,Wire,782597763.0,2011-11-10
1479,19645,Financial,9350.0,2013-06-13
1491,16687,Wire,8.0,1980-10-17
1505,19462,Payment ,6.0,1971-08-21
1507,39773,Purchase,849132151.0,1973-09-26
1521,55617,Subscription,31074.0,1987-09-19
1523,623,Wire,3617902.0,2018-06-04
1529,56768,Financial,1.0,2009-04-18
1531,27686,Credit,187.0,1992-05-30
1535,34100,Financial,18767555.0,1985-05-09
1542,53522,Purchase,366397650.0,2016-11-01
1555,2126,Payment ,172088824.0,2023-10-23
1565,8050,Investment,929190.0,1973-09-18
1568,51494,Online,646977.0,1984-12-11
1577,52441,Credit,994514.0,1999-01-30
1583,20621,Credit,61.0,2013-11-08
1584,50490,Wire,1.0,2006-07-01
1588,48254,Wire,303626.0,2023-04-01
1606,63932,Subscription,278.0,2010-02-08
1617,31389,Credit,213344012.0,2001-03-27
1630,28060,Payment ,29141.0,2017-07-30
1633,44331,Subscription,96708.0,1988-04-05
1641,46217,Online,33.0,1992-09-20
1643,497,Investment,973.0,1994-09-03
1649,22130,Wire,36548.0,2019-05-02
1660,26520,Purchase,8862251.0,2005-05-17
1665,53079,Credit,467352.0,1981-08-14
1666,47788,Investment,742.0,1994-04-12
1672,9704,Financial,64750406.0,2000-02-09
1676,37421,Payment ,564105.0,2019-03-16
1678,55248,Payment ,7.0,1995-02-28
1686,34453,Online,90489546.0,2023-10-27
1694,49615,Financial,633216408.0,1977-04-15
1696,58563,Purchase,11429.0,1974-07-04
1700,21420,Payment ,3461034.0,1975-02-04
1701,31755,Purchase,2219.0,2013-10-12
1712,32042,Online,3.0,1975-03-03
1724,2298,Wire,368.0,1984-06-09
1757,7090,Investment,392274034.0,2021-06-05
1759,24870,Purchase,37294234.0,1973-04-18
1771,27172,Investment,1416334.0,2013-08-10
1778,30318,Credit,449479.0,2017-01-17
1793,26521,Payment ,8681.0,1995-06-14
1794,52252,Credit,88235.0,1987-02-04
1796,38290,Credit,2.0,2004-11-13
1801,20730,Payment ,372398073.0,1973-08-10
1821,644,Financial,312.0,2020-04-14
1822,10273,Wire,3007019.0,2020-05-19
1833,14859,Purchase,61.0,2020-10-25
1845,51869,Credit,44.0,1992-11-02
1848,48596,Credit,2.0,1988-03-30
1876,29521,Payment ,386207836.0,1989-09-12
1882,46219,Payment ,630509664.0,1973-08-10
1898,45696,Financial,54140.0,2002-12-13
1908,4851,Wire,980437.0,2013-01-01
1909,2749,Payment ,874103679.0,2004-11-05
1924,22976,Financial,93278.0,2008-12-19
1935,35653,Credit,57.0,2012-12-05
1940,19634,Purchase,258.0,1999-07-05
1941,32418,Online,479.0,1994-05-11
1944,5758,Credit,15073.0,1973-02-04
1947,4711,Financial,561.0,2015-09-20
1948,29395,Online,948.0,2018-07-27
1951,61033,Credit,1470.0,1986-08-24
1953,1259,Online,8168718.0,2013-06-11
1963,13108,Investment,89713742.0,2008-08-07
1968,33117,Online,1508.0,2004-07-16
1973,32297,Subscription,44886.0,2022-06-27
1983,18845,Online,467651971.0,2011-05-03
1987,48407,Payment ,265268889.0,2001-08-03
1991,15772,Subscription,6644.0,1992-08-15
2003,6424,Payment ,620903014.0,2002-12-03
2006,42099,Investment,964.0,1990-03-02
2011,13967,Financial,4674550.0,1994-12-16
2016,55979,Financial,259.0,1981-03-06
2017,36762,Investment,218866.0,1996-01-01
2018,28857,Subscription,5112.0,2016-04-21
2045,46429,Payment ,2914.0,1981-05-24
2050,46343,Wire,57.0,2002-02-17
2051,2359,Investment,50.0,1995-07-16
2056,40142,Wire,5578.0,2013-12-14
2063,11998,Online,35012.0,2007-10-28
2077,6385,Purchase,889.0,1986-03-24
2081,34753,Investment,156.0,1976-02-12
2086,28635,Subscription,1944.0,2012-12-23
2096,24097,Purchase,45905.0,2004-06-27
2100,40847,Credit,689.0,1992-11-16
2104,32903,Subscription,6006.0,2013-08-10
2106,59969,Subscription,2578.0,2009-12-01
2108,37973,Purchase,33948.0,2011-08-27
2110,46001,Subscription,31798.0,1971-01-27
2114,59177,Wire,48.0,2019-09-28
2125,5878,Subscription,36.0,1979-06-10
2130,9752,Financial,178.0,1982-11-02
2138,51511,Payment ,357.0,1993-12-28
2139,35758,Credit,488.0,1998-06-13
2147,8465,Wire,89933.0,1993-08-19
2152,51854,Investment,0.0,2021-01-18
2154,1449,Purchase,4704240.0,2002-01-22
2158,48699,Payment ,10525.0,1998-11-16
2159,37667,Purchase,19017467.0,2005-07-25
2164,8260,Wire,92.0,1983-07-16
2166,48482,Online,562417.0,1980-09-29
2168,44019,Subscription,50061418.0,2013-08-07
2171,27122,Payment ,7435111.0,2005-05-11
2180,11732,Investment,9.0,1978-12-14
2193,38089,Payment ,8840.0,2008-12-02
2215,20653,Subscription,6.0,1978-07-15
2217,61569,Purchase,114692007.0,2000-07-03
2234,46063,Online,17195280.0,1999-04-17
2237,12107,Financial,2945.0,2013-06-16
2249,41682,Credit,460362.0,1978-02-25
2253,2796,Purchase,81.0,2018-01-22
2256,7400,Payment ,41109611.0,1973-12-20
2261,46112,Online,6787.0,1977-06-30
2262,18721,Financial,821103901.0,1996-07-14
2265,52190,Purchase,7394.0,2004-04-17
2271,10529,Financial,26320644.0,2000-07-19
2277,44846,Online,943253977.0,2016-02-09
2284,42882,Investment,2605754.0,2014-02-27
2287,124,Wire,74.0,1973-01-05
2288,33828,Investment,5417266.0,2014-11-27
2297,49490,Purchase,307597001.0,1970-02-03
2302,38971,Credit,59.0,1989-09-22
2303,62856,Investment,642.0,2004-05-15
2322,36381,Subscription,514717.0,2001-01-28
2329,17331,Investment,651294573.0,1979-05-02
2331,60713,Financial,12451.0,2006-02-17
2336,22239,Online,73817.0,1996-12-17
2345,3280,Online,9330.0,1971-02-12
2364,65371,Investment,13381.0,1991-02-11
2384,5912,Subscription,56.0,2002-09-21
2394,23785,Payment ,5597.0,1996-06-18
2396,25158,Subscription,493882.0,1998-04-29
2404,46030,Payment ,488505137.0,2021-10-26
2408,14812,Investment,55982.0,2009-03-22
2415,51738,Financial,606502953.0,2007-01-04
2416,15712,Purchase,699868.0,2016-03-11
2418,30865,Credit,625778839.0,1989-03-06
2423,12938,Purchase,95449.0,2017-08-16
2425,56395,Credit,403.0,2014-07-02
2431,16377,Investment,1758722.0,2005-04-21
2433,9432,Purchase,14.0,1981-09-10
2434,61052,Purchase,29.0,1974-04-29
2436,63181,Credit,20092.0,2019-08-08
2439,42989,Purchase,1237.0,2014-10-04
2451,25510,Credit,58.0,1989-11-18
2456,25808,Payment ,4686.0,1978-07-02
2457,22623,Online,705.0,1984-03-17
2464,57913,Financial,197740551.0,1979-12-27
2481,13131,Investment,15926021.0,1970-05-14
2490,29418,Financial,825398000.0,2018-03-18
2495,46158,Subscription,70259389.0,1985-06-05
2499,6710,Credit,42963.0,1976-08-14
2500,34772,Credit,5.0,1996-03-08
2514,38023,Payment ,8.0,2007-04-14
2518,54616,Subscription,51315.0,1991-11-30
2520,20717,Financial,7.0,2005-01-19
2523,42162,Payment ,40852192.0,1992-02-05
2531,14743,Wire,2.0,2004-11-17
2532,23816,Purchase,738396334.0,2022-07-07
2534,54984,Financial,15.0,1970-04-19
2536,19188,Subscription,11690.0,1986-11-02
2538,8083,Investment,865427834.0,1985-03-27
2541,64369,Purchase,98.0,2002-10-14
2543,28656,Payment ,14.0,1986-12-04
2549,16765,Wire,89345.0,2023-03-27
2550,15287,Subscription,8553322.0,2014-08-08
2551,37402,Payment ,31.0,1994-03-22
2570,27751,Credit,98.0,2017-01-01
2571,429,Credit,54779242.0,2015-01-09
2577,16800,Online,6244322.0,2023-08-19
2582,48487,Purchase,82812883.0,1978-03-29
2596,30301,Payment ,928588.0,2003-10-15
2600,26058,Wire,997.0,2007-07-14
2610,62739,Investment,5.0,1992-09-06
2611,14799,Online,847.0,1982-05-16
2615,28277,Credit,407398221.0,1988-04-22
2617,19770,Wire,900.0,1997-05-20
2618,59715,Investment,13.0,1986-05-18
2631,48294,Wire,2504.0,1997-11-02
2638,38777,Wire,1.0,1976-04-14
2639,46414,Financial,4344896.0,2010-09-22
2643,60318,Subscription,3.0,2018-08-25
2656,55058,Purchase,673836.0,1970-06-05
2657,33237,Online,87518743.0,1970-01-01
2658,12014,Payment ,34.0,2004-08-27
2659,61147,Credit,30311.0,1992-12-06
2661,25233,Payment ,408462.0,2017-08-13
2667,52919,Payment ,4005471.0,2014-01-30
2678,28445,Online,74.0,2001-12-10
2683,32146,Online,413713234.0,1986-05-19
2686,51334,Credit,470.0,1999-03-17
2694,57887,Investment,55363.0,2011-09-15
2696,14719,Investment,4829420.0,2017-11-23
2699,61569,Investment,363071.0,2023-07-23
2706,1768,Investment,523459.0,1973-05-31
2723,38539,Purchase,16.0,1973-10-07
2726,61291,Credit,84447343.0,2015-06-30
2733,5587,Subscription,62.0,1978-03-25
2735,52919,Subscription,3.0,2016-07-27
2736,46307,Online,511804480.0,1976-01-31
2737,16210,Wire,41500455.0,1974-08-25
2757,14490,Credit,64949.0,2013-03-04
2760,18325,Online,26922.0,2018-04-22
2761,15016,Purchase,34351.0,1979-09-08
2762,6065,Investment,166101.0,1994-04-02
2771,49900,Investment,5.0,2004-06-04
2778,41945,Payment ,9687.0,2004-01-19
2779,55539,Subscription,169355.0,2002-03-12
2781,63322,Online,427282517.0,2007-06-14
2784,52060,Purchase,4915875.0,2021-05-31
2789,9420,Purchase,49654.0,1991-01-02
2790,52232,Payment ,8482.0,1977-04-23
2799,25831,Financial,55285895.0,1997-03-07
2802,41451,Investment,66291.0,2003-09-16
2804,56262,Wire,730333767.0,2004-08-29
2806,21526,Payment ,61373053.0,2000-01-27
2807,9960,Payment ,831950.0,1982-12-19
2836,27902,Wire,65.0,1998-07-15
2843,45158,Purchase,73.0,1989-12-03
2845,28780,Financial,7932.0,2008-08-16
2860,15470,Credit,711.0,2001-11-10
2866,41961,Investment,90024.0,1979-02-16
2869,14864,Online,402.0,1975-01-24
2871,16729,Investment,8.0,1993-10-29
2872,4623,Wire,229.0,2021-06-05
2874,31836,Financial,50.0,1999-05-26
2876,49721,Credit,1.0,2010-05-07
2882,41040,Online,30099255.0,1992-05-30
2891,57004,Wire,7446019.0,1970-07-21
2898,57670,Credit,126.0,2007-11-27
2905,43959,Online,324.0,1985-01-01
2907,61740,Subscription,78057715.0,1995-02-20
2916,57340,Investment,71658.0,1979-09-07
2917,52254,Credit,37542.0,2008-12-18
2918,35175,Financial,51406065.0,1976-07-02
2924,7877,Financial,0.0,1970-04-09
2935,33971,Purchase,256510.0,2004-05-22
2953,5790,Subscription,44.0,1984-11-21
2961,30283,Purchase,3539.0,1993-12-08
2976,60654,Subscription,9.0,1986-08-01
2979,48900,Subscription,6837.0,1998-01-25
2982,60607,Credit,322.0,2012-11-07
2987,35616,Subscription,49582.0,2002-11-07
3013,37765,Investment,7184670.0,1976-09-04
3016,14701,Purchase,5.0,1995-05-17
3018,15102,Online,1.0,2019-11-22
3021,20391,Payment ,17782.0,2023-01-25
3041,15510,Financial,80187081.0,1977-05-11
3046,64189,Subscription,117986365.0,2011-12-24
3048,6179,Credit,369.0,2007-05-02
3049,55917,Online,61172.0,1993-02-14
3066,22034,Purchase,1730.0,1996-06-25
3067,21358,Purchase,252907.0,1979-01-01
3070,17048,Online,40.0,1993-08-15
3087,36974,Subscription,14102.0,2013-03-22
3089,24622,Purchase,97705105.0,2019-06-04
3093,28859,Online,25127009.0,2012-12-03
3107,41650,Subscription,32514169.0,2014-04-12
3110,59444,Investment,32.0,1974-06-24
3111,17931,Online,854372.0,1991-06-15
3114,1903,Payment ,32242.0,1978-10-07
3120,38332,Wire,15543.0,1976-04-06
3121,49519,Subscription,8324967.0,1976-05-13
3130,436,Payment ,6650.0,1997-07-13
3133,53991,Wire,12.0,2004-12-14
3138,5148,Wire,151799.0,2021-05-20
3140,46249,Credit,5626756.0,2022-06-05
3149,33975,Investment,81205.0,2007-08-28
3160,60768,Subscription,23.0,1984-02-20
3162,22388,Wire,98561101.0,1982-07-22
3176,33765,Purchase,98402296.0,1987-01-24
3182,20442,Online,51585782.0,1982-05-05
3188,61482,Subscription,92308.0,1983-11-14
3190,4146,Credit,917500876.0,2010-06-14
3194,50490,Online,1.0,1992-01-31
3208,2009,Investment,9840818.0,2004-08-03
3211,63474,Purchase,2.0,1993-08-24
3216,25115,Purchase,948698975.0,2003-05-28
3246,713,Purchase,8.0,2010-01-17
3248,41580,Financial,388707263.0,2010-10-23
3250,9810,Payment ,32.0,1984-10-19
3252,2602,Online,61618.0,2005-10-17
3272,53207,Online,31278109.0,1986-01-17
3275,6049,Wire,50.0,2018-04-02
3279,33066,Subscription,45.0,2005-01-03
3293,60366,Payment ,580753.0,1978-12-10
3302,7140,Wire,398081.0,2009-06-28
3309,3025,Credit,86704.0,1999-09-03
3310,12177,Financial,416928.0,1989-02-15
3321,35325,Investment,5485.0,2002-09-18
3323,29828,Credit,733791.0,1990-10-01
3325,19534,Purchase,72748.0,1974-09-26
3328,27565,Wire,631.0,2006-11-23
3331,61517,Purchase,13.0,1973-04-25
3332,3015,Purchase,77854284.0,1998-03-21
3335,49403,Wire,7845.0,1995-11-29
3336,41991,Online,9531.0,1992-12-20
3341,49636,Purchase,8872.0,1995-08-25
3359,22272,Credit,5105045.0,1983-06-24
3369,47349,Purchase,59032.0,1987-05-30
3374,14146,Financial,8.0,1972-01-05
3376,39115,Financial,1.0,2023-08-04
3383,60870,Purchase,694474.0,1999-10-05
3386,36989,Online,335797025.0,2007-08-27
3390,24154,Credit,15613982.0,1990-10-15
3401,14010,Investment,848517114.0,2016-03-18
3407,40235,Financial,814.0,1994-06-07
3410,43342,Online,3.0,2008-02-10
3412,24104,Credit,483246.0,2014-01-24
3414,11182,Subscription,79051942.0,1982-09-03
3419,54756,Wire,448.0,2003-10-12
3420,19089,Subscription,762.0,2010-09-07
3424,55157,Online,322405403.0,1972-01-05
3431,57543,Purchase,24.0,2007-02-16
3434,22733,Wire,866354826.0,1982-05-13
3443,62499,Subscription,15712984.0,2009-08-31
3446,35080,Credit,9901.0,1986-07-16
3452,55590,Payment ,811706.0,1978-04-29
3455,16,Financial,12.0,2008-06-21
3459,24858,Online,13779.0,1998-01-16
3476,35424,Payment ,7802968.0,1977-10-24
3477,14821,Credit,34.0,1987-08-14
3480,30959,Purchase,380891.0,1987-02-24
3481,26851,Payment ,8080.0,2021-01-05
3493,47337,Credit,113650.0,1981-12-23
3494,6651,Online,6917.0,2002-05-17
3499,16665,Wire,928521966.0,1973-07-30
3516,37497,Investment,365296988.0,1981-08-16
3529,10379,Credit,998169366.0,2023-08-13
3531,25578,Online,4067002.0,1989-01-12
3547,63889,Payment ,55298294.0,2006-12-31
3559,39592,Investment,45.0,1985-04-17
3561,24914,Credit,8020.0,2021-02-02
3576,51886,Purchase,25.0,1993-02-09
3584,28649,Purchase,408049376.0,2017-11-01
3585,33257,Credit,6.0,2004-03-02
3590,49196,Credit,5573.0,1982-09-29
3596,60751,Financial,79156.0,2005-04-03
3604,42074,Wire,503.0,1986-08-11
3607,31644,Wire,2143992.0,1984-02-04
3625,29127,Payment ,249668474.0,2012-07-01
3627,64989,Purchase,3.0,1978-11-20
3630,27244,Online,2.0,1996-10-29
3635,63657,Purchase,17917.0,2006-01-11
3640,27990,Payment ,782077.0,1996-08-04
3641,50709,Payment ,43299373.0,2019-05-21
3649,44987,Subscription,293.0,2000-08-05
3656,18617,Online,63.0,1978-04-25
3673,53058,Purchase,98935.0,2014-07-21
3676,47943,Payment ,490.0,2017-03-26
3677,26741,Wire,224667285.0,2021-09-01
3678,12892,Wire,99217.0,1984-06-13
3694,50771,Purchase,16796.0,1988-02-19
3698,54984,Financial,42380.0,2004-06-01
3703,27298,Online,5393.0,1974-03-18
3704,63571,Financial,3537895.0,1988-07-24
3712,49496,Payment ,7.0,2012-12-10
3715,60471,Payment ,46.0,2017-01-22
3717,42434,Investment,6.0,2015-01-16
3720,36747,Subscription,37.0,1973-12-14
3728,49993,Purchase,321678447.0,2011-07-08
3737,25670,Subscription,89090.0,1978-03-09
3742,41366,Investment,51753192.0,2003-07-11
3751,48091,Credit,965005371.0,1975-11-02
3752,39292,Purchase,478.0,2015-01-12
3753,39439,Payment ,652.0,1994-07-23
3754,18693,Credit,0.0,2006-08-04
3760,22858,Online,5.0,2013-09-18
3762,484,Financial,43.0,1985-07-04
3768,45621,Purchase,4.0,2012-04-10
3769,50665,Purchase,952175280.0,1970-03-28
3787,13618,Online,5922015.0,2018-05-19
3790,48372,Financial,493221347.0,2005-12-20
3797,25562,Financial,5963427.0,1970-04-04
3798,43296,Online,2320.0,1990-04-11
3816,11590,Credit,61.0,1972-03-10
3830,12957,Payment ,560476.0,2014-02-04
3833,56703,Credit,27025111.0,1975-01-10
3835,36796,Investment,26978854.0,1970-06-17
3836,28436,Wire,2.0,1997-06-13
3838,28392,Purchase,8268.0,2021-08-22
3845,50002,Payment ,11.0,2006-11-25
3851,22529,Wire,4744123.0,2012-03-13
3855,59237,Financial,33166093.0,2009-09-12
3859,47129,Online,0.0,2011-06-28
3867,15904,Subscription,39494.0,1996-08-07
3869,33591,Wire,9.0,2002-02-17
3870,22158,Financial,928.0,1986-08-20
3871,10707,Investment,95759.0,2003-04-12
3876,56039,Credit,23203350.0,1992-12-01
3883,13085,Financial,10950.0,1993-02-21
3891,35325,Investment,7045539.0,1998-10-22
3909,11076,Subscription,93.0,1973-08-07
3915,1738,Payment ,952805530.0,1976-07-24
3917,18700,Online,28.0,2015-07-12
3924,2610,Investment,8846.0,2002-05-03
3927,37323,Investment,749019.0,1978-08-17
3945,18124,Investment,6143.0,1972-02-19
3948,32298,Credit,19.0,1983-08-15
3954,65489,Wire,366.0,1994-02-03
3956,53681,Credit,104484.0,2000-12-04
3982,25300,Wire,6.0,2011-08-16
3992,57602,Credit,23686160.0,1970-04-17
4002,56938,Wire,49089315.0,1988-10-04
4007,5006,Payment ,4041646.0,2022-02-07
4011,26604,Financial,16444012.0,2013-07-25
4029,51304,Payment ,2089048.0,1991-07-25
4032,22575,Wire,70096516.0,2022-08-09
